Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Clostridium_pasteurianum	0.096	0.179	0.154	0.247	0	0	0.0325781769872659	0.313815445938712	0.136370260626599	0.0243104937146257	0.954637407902681	0.635190534701452	0.0450029070916891	0.821449443408562	0.178181897139471	0.04612333396542	0.995274663330216	0.700987163794032
Sorangium_cellulosum	0.244	0.301	0.233	0.279	0.172	0.314	0.675943409573521	0.985641911870634	0.649866685090872	0.791911642026505	0.602740098862394	0.00034369215007389	0.680859361643146	0.999980916292842	0.703176061602233	0.815462917625806	0.990828871224787	0.000820713151469548
Desulfitobacterium_dehalogenans	0.116	0.211	0.126	0.238	0	0	0.0960304098698941	0.969838234679412	0.0944472772847783	0.125395375031865	0.224763026990714	0.0391635610933512	0.106829010176549	0.999980916292842	0.130158685611361	0.17195306378132	0.990828871224787	0.0573984466817899
Rhodopseudomonas_palustris	0.265	0.335	0.322	0.326	0.287	0.36	0.729997189855073	0.71103112869375	0.969723176710463	0.940000257953367	0.210008359877429	0.00725695196909925	0.729997189855073	0.999980916292842	0.976775708904721	0.953773155505797	0.990828871224787	0.0126426144367326
Thermodesulfobacterium_geofontis	0.174	0.229	0.094	0.172	0.045	0.179	0.0319801227892591	0.187001631834131	0.0637956108594784	0.735488919518054	0.0403554897912948	0.130532340887285	0.0445150452895717	0.59539600020752	0.0992774393712107	0.760188174277989	0.990828871224787	0.168683138708595
Anaeromyxobacter_sp._Fw109.5	0.144	0.237	0.203	0.31	0	0	0.0273656037425195	0.494569646416793	0.0692324690899657	0.021465324376391	0.304555676036563	0.0164534057881181	0.0390735682302985	0.999980916292842	0.105395575692742	0.04129093647403	0.990828871224787	0.0264976360657483
Mycoplasma_hyorhinis	0.062	0.185	0.691	0.533	1.727	0.271	8.01124064419218e-46	2.87547763377916e-14	1.66533453693773e-15	1.47659662275146e-14	0.577791635619111	0.992738613308281	2.21911365844123e-43	7.74420931422397e-13	4.02156940227682e-14	3.88608337428567e-13	0.990828871224787	0.999898642035521
Klebsiella_pneumoniae	0.811	1.049	1.148	1.035	0.33	0.526	0.0362125549347204	0.262564182223765	0.181633539832665	0.0278593701800283	0.515842227073709	4.42635728807337e-08	0.0486935811500852	0.720101767088941	0.225616549478243	0.0514469702657855	0.990828871224787	3.60617931998918e-07
Streptococcus_anginosus	0.219	0.305	1.254	0.791	0.035	0.141	2.25679751308773e-21	1.67643676718399e-14	0.263623086104864	3.67483821150927e-14	0.88516517832753	0.79965950915247	3.28182280246939e-20	7.74420931422397e-13	0.308116433970664	4.82265742492287e-13	0.990828871224787	0.851944938597054
Pedobacter_saltans	0.119	0.189	0.112	0.23	0	0	0.0637305698278129	0.981401014145191	0.0513042810635302	0.141987561672087	0.383719793862721	0.760581879249448	0.0757781602514766	0.999980916292842	0.0850975200874124	0.190482035888672	0.990828871224787	0.819771130552907
Desulfitobacterium_hafniense	0.157	0.257	0.284	0.382	0	0	0.00447221017019628	0.0796140113701681	0.0862921381841367	0.00327587433130105	0.685907518630638	0.00149782464519668	0.00904235194995891	0.339278171531332	0.120721829681848	0.0081019391943785	0.990828871224787	0.00300650309217014
Xanthomonas_campestris	0.092	0.156	0.117	0.226	0.136	0.245	0.572605678816993	0.786378457901344	0.62280304425041	0.935686809322845	0.00217019814461987	0.999898642035521	0.578875084059514	0.999980916292842	0.676535071597504	0.952886934494221	0.601144886059705	0.999898642035521
Bifidobacterium_animalis	0.336	0.4	0.273	0.4	0	0	0.00505210306235992	0.71397855705541	0.00340378614592796	0.0577547866660068	0.285183611819712	2.36747745869015e-07	0.00992505353385601	0.999980916292842	0.0102483561132831	0.0914175766084793	0.990828871224787	1.46035797981681e-06
Butyrivibrio_proteoclasticus	0.525	0.39	0.646	0.48	0	0	9.1238641448393e-07	0.3173107958293	4.66555245937084e-06	1.28591122405819e-06	0.244781260390978	0.145849832403758	3.36974715749398e-06	0.821449443408562	2.27175150053167e-05	6.14133463903652e-06	0.990828871224787	0.187038905443708
Streptococcus_pneumoniae	0.3	0.362	0.979	0.698	0	0	6.12853292632789e-13	4.79674078235348e-11	0.0294445466434519	8.75611805284393e-11	0.772749850061696	0.335033817464098	3.61192259700601e-12	8.85798131141276e-10	0.0562492373809391	7.34983242617506e-10	0.990828871224787	0.394912201861936
Roseburia_hominis	2.304	0.579	2.07	0.717	0.308	0.56	1.09184976853835e-22	0.174559024902366	3.66373598126302e-15	3.1863400806742e-14	0.632465952744699	4.72293022569202e-06	1.77907285814779e-21	0.583866370524413	6.3428429175616e-14	4.41308101173377e-13	0.990828871224787	1.89601691669085e-05
Alkaliphilus_metalliredigens	0.101	0.167	0.251	0.348	0	0	0.000280759723416245	0.00264368043745744	0.174147952851691	0.000509213772375561	0.603991317979918	0.00217323588674706	0.000707004030784545	0.0182952220729164	0.217292715945579	0.00150055547817054	0.990828871224787	0.00423297324678771
Eubacterium_rectale	2.779	0.73	2.625	0.821	0.693	0.619	2.46617004497955e-18	0.596708588546017	2.67563748934663e-14	2.42583730880597e-13	0.686876203435014	2.759093560234e-07	2.53010778688643e-17	0.999980916292842	2.73895489621978e-13	2.79982056058022e-12	0.990828871224787	1.59222690871837e-06
Haemophilus_parainfluenzae	0.605	0.79	0.318	0.625	0.059	0.238	0.00879733860016757	0.155092687289192	0.0157484530444427	0.489019111962993	0.529553387393356	2.24427362942212e-05	0.0154231822294077	0.549143663102835	0.0357567335517265	0.527075073983459	0.990828871224787	8.17978678092008e-05
Magnetospirillum_magneticum	0.119	0.193	0.069	0.152	0	0	0.0291582936074656	0.370126044448471	0.0332441517139044	0.423777591531784	0.286637175792951	0.0451865907619616	0.0412084047411632	0.899341353616021	0.0605092440253088	0.469545571417217	0.990828871224787	0.0641881314926326
Zymomonas_mobilis	0.118	0.213	0.156	0.304	0	0	0.0763765380567108	0.702476277635292	0.123357465762083	0.0677808376453241	0.393162473780205	0.0711052816767759	0.0896453433970715	0.999980916292842	0.164278932769697	0.102039630585624	0.990828871224787	0.0970254336180637
Campylobacter_coli	0.583	0.536	0.557	0.571	0	0	0.000222988722516545	0.969529965314984	0.000141032568685029	0.00215233910403367	0.743947167130597	8.58533481360962e-11	0.000566677762725531	0.999980916292842	0.000550225655292296	0.00552035122053081	0.990828871224787	1.98178145280822e-09
Pseudomonas_mendocina	0.195	0.231	0.172	0.253	0	0	0.00648875461681326	0.888922317347314	0.00436937924730185	0.0396618599133802	0.784312639762555	0.0914558884310508	0.0122271090398454	0.999980916292842	0.0126074797031522	0.0682381068074927	0.990828871224787	0.122753388787615
Streptococcus_suis	0.615	0.454	0.694	0.527	0.08	0.24	4.03527115430201e-05	0.695428110858412	6.79510850659648e-05	8.60234976048924e-05	0.655533120694039	0.000654610171700561	0.000115234031932129	0.999980916292842	0.000268892150903889	0.00028033539807712	0.990828871224787	0.00143910331397663
Acidaminococcus_fermentans	0.47	0.347	0.377	0.446	0	0	1.13564646697981e-05	0.435062791874157	6.02321546305795e-06	0.00234356613140319	0.697884049913366	0.00288433256151986	3.4952674594823e-05	0.971874139912432	2.82784861570687e-05	0.00595566805870351	0.990828871224787	0.00538425430971064
Clostridium_saccharoperbutylacetonicum	0.21	0.254	0.179	0.273	0	0	0.00743159871662193	0.821698595969711	0.00502259061695276	0.0547301443669315	0.804526520756429	0.999853822371501	0.0136328002947303	0.999980916292842	0.013507355348504	0.0871278735036783	0.990828871224787	0.999898642035521
Riemerella_anatipestifer	0.65	0.565	0.43	0.539	0.077	0.308	0.00032066082083647	0.140784309018935	0.000374243680797415	0.0962695886169559	0.739506951800766	5.66427970308015e-12	0.000800207633979298	0.514060099891981	0.00132904486642159	0.136752184855881	0.990828871224787	3.1380109555064e-10
