wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K01369: legumain	0.178	0.319	0.277	0.418	0.073	0.293	0.049	0.358	0.489	0.137	0.868	0.0116	0.0583034277198212	0.643575310100413	0.520011006289308	0.163257439310885	0.9956866689993	0.0749566878980892	0.035	0.254
K01368: cathepsin S	0.058	0.099	0.088	0.139	0.153	0.22	0.0267	0.479	0.014	0.226	0.0464	0.0301	0.0331941451261289	0.777305518528392	0.0185176010430248	0.260492709714069	0.9956866689993	0.141481621621622	0.073	0.21
K01407: protease III	0.278	0.304	0.394	0.399	0	0	2.87e-07	0.194	0.00317	0.000247	0.979	0.000184	8.91598443579767e-07	0.418751063829787	0.0044999510261194	0.000441553303964758	0.998386055843504	0.00549023529411765	0.161	0.44
K01364: streptopain	0.387	0.469	0.612	0.715	0.099	0.396	3.09e-05	0.11	0.105	0.00571	0.898	1.73e-06	6.66051835853132e-05	0.275997526793075	0.12317113123916	0.00850422559334475	0.9956866689993	0.0003290784375	0.103	0.429
K01366: cathepsin H	0.064	0.16	0.086	0.154	0.216	0.372	0.0183	0.846	0.0112	0.0863	0.23	0.573	0.023377152	1	0.0150064714946071	0.10674824222719	0.9956866689993	0.889077491715524	0.065	0.104
K01361: lactocepin	0.568	0.322	0.63	0.369	0.147	0.19	6.96e-08	0.644	9.23e-06	1.25e-05	0.853	0.00622	2.41392875760208e-07	0.918254392129304	1.60477035132819e-05	2.52614541832669e-05	0.9956866689993	0.0515244701086957	0.194	0.411
K01360: proprotein convertase subtilisin/kexin type 2	0.24	0.23	0.313	0.268	0.125	0.235	0.0105	0.325	0.178	0.0344	0.425	0.0221	0.013972	0.60313262195122	0.202596484667165	0.0454411458333333	0.9956866689993	0.116874630755864	0.059	0.234
K01362	2.229	0.18	2.107	0.257	0.528	0.577	<2e-16	0.0836	1.67e-15	1.67e-15	0.277	1	NA	0.224866637207247	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.8	0.8
K09174: regulatory factor X 4	0.016	0.107	0.01	0.028	0.181	0.344	0.000142	0.979	0.000115	0.00066	0.641	0.266	0.000273979700338328	1	0.000185973698193411	0.00111812413025327	0.9956866689993	0.550915957808779	0.122	0.18
K05841: sterol 3beta-glucosyltransferase	0.145	0.241	0.036	0.132	0.035	0.139	0.0237	0.0503	0.14	1	0.595	0.839	0.0296863508001255	0.156132636409995	0.1613671653096	1	0.9956866689993	1	0.055	0.076
