wgs	stoolMeans	swabMeans	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Metabolism_of_Terpenoids_and_Polyketides	3.65	3.578	0.00892652059600262	0.272386323354444	0.0127031254635422	0.847703420699111
Metabolism_of_Cofactors_and_Vitamins	4.445	4.43	0.448258537025254	0.000781876190111865	0.502592905149527	0.0144647095170695
Transcription	3.068	3.053	0.281889281927498	0.000529387033459473	0.325934482228669	0.0144647095170695
Signaling_Molecules_and_Interaction	1.525	3.112	4.01526104733014e-18	0.16544627764664	7.42823293756077e-17	0.847703420699111
Nucleotide_Metabolism	3.626	3.552	1.59120814315382e-05	0.435553989062538	2.80355720460435e-05	0.999958871478908
Immune_System	1.251	2.855	1.94560482569545e-18	0.0224520917150467	7.19873785507317e-17	0.146271678827247
Xenobiotics_Biodegradation_and_Metabolism	3.647	3.592	0.0366122722002346	0.0237197317017157	0.04671220935892	0.146271678827247
Membrane_Transport	3.438	3.399	0.144933902061507	0.999958871478908	0.178751812542526	0.999958871478908
Cell_Growth_and_Death	3.307	3.342	0.595646067924156	0.999869874271259	0.62968298609125	0.999958871478908
Folding_Sorting_and_Degradation	3.774	3.816	0.0120657785463798	0.885065431586377	0.0165345854154094	0.999958871478908
Cancers	0.398	1.015	2.27945629053209e-07	0.973008914215635	6.06766725186778e-07	0.999958871478908
Circulatory_System	0.266	1.397	1.98937052528051e-08	0.999791498345446	7.3606709435379e-08	0.999958871478908
Transport_and_Catabolism	2.047	2.79	2.11110494637656e-12	0.999863269254218	1.30184805026555e-11	0.999958871478908
Development	0.524	1.384	2.54154221944587e-10	0.549031707045728	1.30888124677048e-09	0.999958871478908
Excretory_System	0.801	1.54	5.27617902468356e-07	0.918142066750131	1.30145749275528e-06	0.999958871478908
Neurodegenerative_Diseases	1.354	2.081	2.83001350653077e-10	0.999841586984313	1.30888124677048e-09	0.999958871478908
Metabolism_of_Other_Amino_Acids	4.155	4.159	0.993605624324755	0.876408983253496	0.993605624324755	0.999958871478908
Glycan_Biosynthesis_and_Metabolism	3.969	3.939	0.0277681548107545	0.00436594808479695	0.0366936331427827	0.0403850197843718
Nervous_System	0.465	0.894	0.00733213589493462	0.999807256788726	0.0108515611245032	0.999958871478908
Lipid_Metabolism	3.818	3.837	0.830678398288902	0.868522350384561	0.853752798241372	0.999958871478908
Cell_Motility	3.04	3.332	0.000125937078408817	0.296358100406024	0.00020259443048375	0.847703420699111
Infectious_Diseases	2.536	2.696	0.00547414260901584	0.654770174046063	0.00843930318889942	0.999958871478908
Translation	3.868	3.859	0.589793573295265	0.00434012349789458	0.62968298609125	0.0403850197843718
Signal_Transduction	2.989	3.166	7.3287190956659e-07	0.999900658232711	1.69476629087274e-06	0.999958871478908
Immune_System_Diseases	0.331	1.275	4.31900371586827e-09	0.297841742407796	1.77559041652362e-08	0.847703420699111
Replication_and_Repair	4.054	3.978	1.27174821767297e-05	0.18517710040137	2.61414911410554e-05	0.847703420699111
Carbohydrate_Metabolism	4.455	4.358	9.47880182595287e-06	0.999956723919337	2.06303333858974e-05	0.999958871478908
Cardiovascular_Diseases	0.236	1.443	9.68495999484721e-13	0.457136008209141	7.16687039618693e-12	0.999958871478908
Environmental_Adaptation	2.223	2.482	1.42019509940724e-05	0.290567632772083	2.76564308831936e-05	0.847703420699111
Sensory_System	0.488	1.567	3.96471826093805e-15	0.269724403564611	3.66736439136769e-14	0.847703420699111
Biosynthesis_of_Other_Secondary_Metabolites	3.516	3.432	0.239218803418807	0.848459103140014	0.285519216983737	0.999958871478908
Amino_Acid_Metabolism	4.412	4.335	3.04970519810309e-08	0.999921554882045	1.02580993027104e-07	0.999958871478908
Endocrine_System	1.772	2.115	1.52346686227294e-05	0.829145680295378	2.80355720460435e-05	0.999958871478908
Digestive_System	2.242	2.691	2.29587409530132e-07	0.339344130012599	6.06766725186778e-07	0.896838057890439
Cell_Communication	0.397	2.499	1.58533351125422e-17	0.712439969258105	1.9552446638802e-16	0.999958871478908
Energy_Metabolism	3.852	3.736	2.77724322936283e-05	0.999920062888173	4.67081815847385e-05	0.999958871478908
Metabolic_Diseases	0.172	0.916	5.76221331710405e-08	0.908393786161009	1.77668243944042e-07	0.999958871478908
