wgs	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
African_trypanosomiasis	0.97676802149187	1.23281762720998	0.264044470289522	9.29599800021342e-08	0.0586686763838028	3.36650763066437e-06	6.15783735113951e-08	0.791275275062375	0.73134411156225	1.1858678530002e-07	0.125870978423431	4.24864064618605e-06	1.0764811961992e-07	0.933704824573602	0.999891036688737
Fatty_acid_elongation_in_mitochondria	0.484006659800532	0.538402187612052	0.159804791029952	0.264861717861698	0.94446363425376	0.282518886159917	0.279689371860739	0.214148720119948	0.00831405748204646	0.275362843239474	0.999999202392299	0.297653826489912	0.314317579805402	0.721987113547253	0.218013062862552
Glycolysis_Gluconeogenesis	3.29654151323057	3.23072624746198	2.15832689296222	4.77628688496894e-27	0.5737025101417	1.66533453693773e-15	1.49880108324396e-14	0.141540652380593	0.457594196307182	1.09437252898317e-26	0.787173211589774	3.67307430576921e-15	5.12633413979094e-14	0.721505327523613	0.999891036688737
Drug_metabolism_other_enzymes	1.93017295596902	2.17821646645401	1.71113969203723	0.0778082138059592	0.207534460689001	0.458194594456451	0.0762878192149826	0.265918797529708	0.999779712915733	0.0823441186466654	0.354914005236263	0.476360899963536	0.089571767834507	0.770742281191313	0.999891036688737
Long_term_depression	0.312243967459861	0.191131492815221	1.2290732161137	5.53090453485585e-05	0.751538099090682	8.20096636207079e-05	0.000129382567271796	0.073540184041583	0.999786030342548	6.59239126376758e-05	0.909553801976415	9.82450792613557e-05	0.000187326907215607	0.721505327523613	0.999891036688737
Ascorbate_and_aldarate_metabolism	2.63118903600677	2.60713507181274	0.586880202249403	8.99331439887971e-45	0.947372407590703	1.66533453693773e-15	1.66533453693773e-15	0.949742632461733	0.443774989918892	1.24848364596212e-43	0.999999202392299	3.67307430576921e-15	8.36210533441075e-15	0.994152945249768	0.999891036688737
Neurotrophin_signaling_pathway	0.203513509926786	0.805641700961234	1.87406533164198	9.95097774229982e-27	4.46398676912096e-08	1.66533453693773e-15	6.30643315346902e-11	0.312840886535164	0.488149224841055	2.21550070488939e-26	2.81892263905672e-07	3.67307430576921e-15	1.34082722902584e-10	0.82955560923931	0.999891036688737
Benzoxazinoid_biosynthesis	0.236441832606359	0.194007264193635	0.017188954082668	2.80662891696111e-09	0.232408231193354	1.21963228405519e-09	2.11092116362277e-05	0.408130277916771	0.221654786044873	3.70035991286492e-09	0.386255933532616	1.66377583258396e-09	3.1731044242992e-05	0.834550763829782	0.999891036688737
TGF_beta_signaling_pathway	0.101517868934428	0.71566679465493	1.93104271532173	5.69344300337781e-29	4.53894323237947e-08	1.66533453693773e-15	6.74127420552395e-13	0.381333867304493	0.999800335802144	1.52863639013054e-28	2.81892263905672e-07	3.67307430576921e-15	1.65722990885797e-12	0.834550763829782	0.999891036688737
Styrene_degradation	1.44586312451634	0.977875830787556	0.0519318312216527	6.42760490572904e-07	0.058268196258208	6.47375014262153e-07	0.00626637546080833	0.895567893028199	0.17261299071908	8.11184362434254e-07	0.125870978423431	8.39453315197077e-07	0.00795088499328368	0.982704348613351	0.857551783703698
MAPK_signaling_pathway_fly	0.06085747958717	0.397163087136741	0.70807100874023	3.77739125813401e-11	5.09618976221038e-05	8.1574025312392e-10	0.0154615038318636	0.935116815127303	0.99985619618323	5.15297304577818e-11	0.000197164062931418	1.11927151010026e-09	0.0190047651266657	0.994152945249768	0.999891036688737
Aminobenzoate_degradation	2.47049067397724	2.30266806891437	0.331380651793631	6.61095861840093e-42	0.120624412547946	1.66533453693773e-15	1.66533453693773e-15	0.985514897232015	0.99984178116189	6.09554355578437e-41	0.229575494849317	3.67307430576921e-15	8.36210533441075e-15	0.994152945249768	0.999891036688737
Fatty_acid_biosynthesis	3.37998520090923	3.29252417642392	1.37449226360009	3.78171113620332e-35	0.617714129544866	1.66533453693773e-15	1.66533453693773e-15	0.190222052354324	0.925845422874876	1.6226978693527e-34	0.818991767261732	3.67307430576921e-15	8.36210533441075e-15	0.721505327523613	0.999891036688737
