wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
African_trypanosomiasis	0.977	0.452	1.233	0.638	0.089799959730949	0.0753556579991301	0.13900541711777	0.463097435746523
Fatty_acid_elongation_in_mitochondria	0.484	0.815	0.538	0.777	0.952885503424258	0.0188057224683041	0.961393409704832	0.339465509965345
Glycolysis_Gluconeogenesis	3.297	0.343	3.231	0.153	0.300277571198226	0.803729601948987	0.37451134001566	0.999973330728242
Drug_metabolism_other_enzymes	1.93	0.425	2.178	0.628	0.0203494314909334	0.304031661149476	0.0383247626412579	0.951346194747499
Ascorbate_and_aldarate_metabolism	2.631	0.166	2.607	0.278	0.578738333344795	0.77414529139143	0.647499323445167	0.999973330728242
Neurotrophin_signaling_pathway	0.204	0.372	0.806	0.725	6.35192596074208e-08	0.85657040574581	3.58883816781927e-07	0.999973330728242
Benzoxazinoid_biosynthesis	0.236	0.116	0.194	0.157	0.083861607570149	0.0455457374506782	0.132536526649326	0.427348118437642
Styrene_degradation	1.446	1.001	0.978	0.983	0.014719401963628	0.202430328376235	0.0284323490921361	0.775411088356425
MAPK_signaling_pathway_fly	0.061	0.238	0.397	0.428	7.34248223845521e-07	0.999839838569729	3.25372742331544e-06	0.999973330728242
Aminobenzoate_degradation	2.47	0.333	2.303	0.439	0.0325954950117013	0.999861454719	0.0575514208800351	0.999973330728242
Fatty_acid_biosynthesis	3.38	0.354	3.293	0.173	0.210673053939241	0.999835505274946	0.280624472284736	0.999973330728242
Carbon_fixation_in_photosynthetic_organisms	0.978	0.402	0.946	0.55	0.623225684394562	0.155460179968775	0.683733032394034	0.702680013458861
Tyrosine_metabolism	2.953	0.314	2.938	0.135	0.754253180966035	0.791584110119455	0.796547751861327	0.999973330728242
Vibrio_cholerae_pathogenic_cycle	1.868	0.28	1.786	0.395	0.151777342024385	0.142249421032696	0.217684065959089	0.692896680644674
Ether_lipid_metabolism	1.568	0.598	1.644	0.489	0.583866985831579	0.715245224623423	0.650019402945501	0.999973330728242
Streptomycin_biosynthesis	3.468	0.374	3.359	0.261	0.14142617184619	0.869199615234455	0.20754749894311	0.999973330728242
Nitrotoluene_degradation	2.624	0.369	2.342	0.786	0.00912522830589059	0.999810270559743	0.0185792936678493	0.999973330728242
