wgs	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Lipid_Metabolism	3.81784058469425	3.83700740261041	3.66489454514614	0.193260913317784	0.959885665790041	0.198487130662132	0.219730806889761	0.292286390392742	0.54302874160702	0.193260913317784	0.998428390707134	0.198487130662132	0.219730806889761	0.803787573580041	0.995552692946203
Metabolism_of_Terpenoids_and_Polyketides	3.64997957047509	3.57793632062818	2.16695956336217	6.24290931253425e-56	0.233420896608818	1.66533453693773e-15	1.66533453693773e-15	0.90454046535289	0.0720856375137651	6.86720024378768e-55	0.4279383104495	3.05311331771918e-15	3.66373598126302e-15	0.90454046535289	0.264314004217139
Biosynthesis_of_Other_Secondary_Metabolites	3.51600285716247	3.43164162516195	1.33363944914032	7.38851935099434e-33	0.713316742179113	1.66533453693773e-15	1.66533453693773e-15	0.611522257666428	0.999789682995634	1.35456188101563e-32	0.904614311532166	3.05311331771918e-15	3.66373598126302e-15	0.870930049704787	0.999959730848895
Amino_Acid_Metabolism	4.41164332867511	4.33513780686178	4.12981678413182	9.87821849701369e-35	1.73570513406496e-07	1.66533453693773e-15	2.4980018054066e-14	0.284120396520274	0.999931963135769	2.17320806934301e-34	1.90927564747145e-06	3.05311331771918e-15	3.92543140849609e-14	0.803787573580041	0.999959730848895
Metabolism_of_Cofactors_and_Vitamins	4.44462135626304	4.42959251534005	4.64108631587359	8.09851907962918e-25	0.449500240899923	2.33146835171283e-15	8.10462807976364e-15	0.0916712723477559	0.00472637602737188	1.27262442679887e-24	0.706357521414165	3.66373598126302e-15	1.48584848129e-14	0.803787573580041	0.0311430740796142
Nucleotide_Metabolism	3.62593600961585	3.55234348379429	3.06596554304821	5.71660174662509e-55	6.99185594463803e-05	1.66533453693773e-15	1.66533453693773e-15	0.559707030195792	0.158719935452111	3.1441309606438e-54	0.000256368051303394	3.05311331771918e-15	3.66373598126302e-15	0.870930049704787	0.436479822493306
Xenobiotics_Biodegradation_and_Metabolism	3.64676434236482	3.59171825062879	2.54615827116874	9.45848332781511e-22	0.740138982162681	7.21644966006352e-15	3.00870439673417e-14	0.638840610618493	0.999825354308809	1.30054145757458e-21	0.904614311532166	9.92261828258734e-15	4.13696854550949e-14	0.870930049704787	0.999959730848895
Metabolism_of_Other_Amino_Acids	4.15497322521782	4.1593473796339	3.90497491674078	0.0501394720228799	0.998428390707134	0.0435291279004021	0.0891898129944416	0.274908062541085	0.965713395402972	0.0551534192251679	0.998428390707134	0.0478820406904423	0.0981087942938858	0.803787573580041	0.999959730848895
Energy_Metabolism	3.8516531801352	3.73588308702811	3.22070846814227	1.42638420604516e-40	4.15607300719989e-05	1.66533453693773e-15	1.66533453693773e-15	0.712579131576644	0.999959730848895	3.9225565666242e-40	0.000228584015395994	3.05311331771918e-15	3.66373598126302e-15	0.870930049704787	0.999959730848895
Glycan_Biosynthesis_and_Metabolism	3.96874767389555	3.93894683001765	3.77094200847544	4.16088652145558e-19	0.104894040940462	2.27595720048157e-14	2.5489610422369e-12	0.458494182178072	0.00566237710538441	5.08552797066793e-19	0.230766890069016	2.78172546725525e-14	3.11539682940065e-12	0.870930049704787	0.0311430740796142
Carbohydrate_Metabolism	4.45521440131606	4.35764757058954	3.59586374917191	4.99359620292777e-52	0.00145937731000323	1.66533453693773e-15	1.66533453693773e-15	0.826035062090812	0.356824982396548	1.83098527440685e-51	0.00401328760250888	3.05311331771918e-15	3.66373598126302e-15	0.90454046535289	0.785014961272405
