wgs	stoolMeans	swabMeans	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Lipid_Metabolism	3.818	3.837	0.830678398288902	0.868522350384561	0.913746238117793	0.999956723919337
Metabolism_of_Terpenoids_and_Polyketides	3.65	3.578	0.00892652059600262	0.272386323354444	0.0196383453112058	0.749062389224721
Biosynthesis_of_Other_Secondary_Metabolites	3.516	3.432	0.239218803418807	0.848459103140014	0.328925854700859	0.999956723919337
Amino_Acid_Metabolism	4.412	4.335	3.04970519810309e-08	0.999921554882045	3.3546757179134e-07	0.999956723919337
Metabolism_of_Cofactors_and_Vitamins	4.445	4.43	0.448258537025254	0.000781876190111865	0.547871545253088	0.00860063809123051
Nucleotide_Metabolism	3.626	3.552	1.59120814315382e-05	0.435553989062538	5.83442985823067e-05	0.958218775937585
Xenobiotics_Biodegradation_and_Metabolism	3.647	3.592	0.0366122722002346	0.0237197317017157	0.0575335706003686	0.0869723495729577
Metabolism_of_Other_Amino_Acids	4.155	4.159	0.993605624324755	0.876408983253496	0.993605624324755	0.999956723919337
Energy_Metabolism	3.852	3.736	2.77724322936283e-05	0.999920062888173	7.63741888074778e-05	0.999956723919337
Glycan_Biosynthesis_and_Metabolism	3.969	3.939	0.0277681548107545	0.00436594808479695	0.0509082838197166	0.0240127144663832
Carbohydrate_Metabolism	4.455	4.358	9.47880182595287e-06	0.999956723919337	5.21334100427408e-05	0.999956723919337
