wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Mucin_type_O_glycan_biosynthesis	0.201	0.46	0.866	0.679	5.41e-08	0.642	1.27676e-06	1	0.229	0.263
Fatty_acid_elongation_in_mitochondria	0.484	0.815	0.538	0.777	0.953	0.0188	0.968	0.246488888888889	0.008	0.236
Glycolysis_Gluconeogenesis	3.297	0.343	3.231	0.153	0.3	0.804	0.409609195402299	1	0.015	0.061
Drug_metabolism_other_enzymes	1.93	0.425	2.178	0.628	0.0203	0.304	0.0556652173913043	0.969513513513513	0.051	0.14
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.902	0.415	0.691	0.38	0.00862	0.0308	0.0290617142857143	0.2596	0.053	0.271
Ascorbate_and_aldarate_metabolism	2.631	0.166	2.607	0.278	0.579	0.774	0.68229702970297	1	0.003	0.03
Various_types_of_N_glycan_biosynthesis	0.363	0.417	0.319	0.39	0.605	0.812	0.699901960784314	1	0.016	0.044
Benzoxazinoid_biosynthesis	0.236	0.116	0.194	0.157	0.0839	0.0455	0.1716	0.322533333333333	0.031	0.226
Sulfur_metabolism	3.149	0.337	3.059	0.23	0.19	1	0.30208	1	0.021	0.021
Pentose_phosphate_pathway	3.45	0.36	3.377	0.165	0.302	1	0.409609195402299	1	0.013	0.013
Styrene_degradation	1.446	1.001	0.978	0.983	0.0147	0.202	0.043365	0.744875	0.046	0.168
Aminobenzoate_degradation	2.47	0.333	2.303	0.439	0.0326	1	0.076936	1	0.037	0.037
Fatty_acid_biosynthesis	3.38	0.354	3.293	0.173	0.211	1	0.319205128205128	1	0.018	0.018
Carbon_fixation_in_photosynthetic_organisms	0.978	0.402	0.946	0.55	0.623	0.155	0.713728155339806	0.677407407407407	0.002	0.138
Tyrosine_metabolism	2.953	0.314	2.938	0.135	0.754	0.792	0.823814814814815	1	0.009	0.056
Ether_lipid_metabolism	1.568	0.598	1.644	0.489	0.584	0.715	0.68229702970297	1	0.018	0.055
Carotenoid_biosynthesis	1.178	0.416	1.13	0.55	0.211	0.00429	0.319205128205128	0.08437	0.028	0.259
Streptomycin_biosynthesis	3.468	0.374	3.359	0.261	0.141	0.869	0.255969230769231	1	0.02	0.044
Nitrotoluene_degradation	2.624	0.369	2.342	0.786	0.00913	1	0.0299261111111111	1	0.055	0.055
Taurine_and_hypotaurine_metabolism	3.062	0.634	2.67	1.115	0.0194	1	0.0556652173913043	1	0.046	0.046
Polycyclic_aromatic_hydrocarbon_degradation	1.445	1.38	1.385	1.356	0.257	0.0378	0.379075	0.29736	0.01	0.23
Glutathione_metabolism	2.896	0.334	3.2	0.275	2.79e-05	0.21	0.00021948	0.750909090909091	0.134	0.264
Ethylbenzene_degradation	0.168	0.24	0.255	0.358	0.315	0.0276	0.422386363636364	0.257784615384615	0.019	0.192
Steroid_biosynthesis	1.031	0.557	1.272	0.506	0.122	0.00285	0.228507936507936	0.0767	0.051	0.357
