Taxa	correlation
Bacilli	0.36614087678486
Fusobacteriia	0.637862107574472
Deltaproteobacteria	-0.00382728764199227
Clostridia	0.0767587634697472
Deinococci	0.288143526529919
Mollicutes	-0.078999025036278
Flavobacteriia	0.012358883293117
Spirochaetia	-0.064122224782095
Actinobacteria	0.387881825853967
Negativicutes	0.0161534640281453
Alphaproteobacteria	0.0367193340511962
Erysipelotrichia	0.255773297216596
Epsilonproteobacteria	-0.052560187795853
Betaproteobacteria	0.211796990151484
Bacteroidia	0.29101649376495
Unclassified	0.0145707885728597
Gammaproteobacteria	0.0218865511257524
Sphingobacteriia	0.173855481003574
Verrucomicrobiae	0.487008142010388
