Taxa	correlation
Veillonella	0.0156132074970796
Paludibacter	0.0648469130881119
Olsenella	0.91312721279409
Faecalibacterium	0.198456373625335
Acidaminococcus	-0.0198635732907253
Lactococcus	0.992434216628498
Prevotella	0.34086201398359
Faecalitalea	0.258142616459988
Bacillus	0.13706949535909
Blautia	0.306208455205279
Geobacillus	0.323846078264911
Streptococcus	0.285388366564475
Slackia	0.504073889733946
Alkaliphilus	-0.0379648602178749
Peptoclostridium	0.101486395817933
Eubacterium	0.273254817539381
Methylobacterium	0.0330031667932887
Escherichia	0.841351025197908
Haemophilus	0.0993748935601194
Ralstonia	0.297648594338345
Alistipes	0.136663701108697
Desulfotomaculum	0.177465200261991
Lachnoclostridium	0.0657587255351248
Porphyromonas	0.545119600352123
Parabacteroides	0.651704376145652
Coprococcus	0.0265047483456051
Atopobium	0.519080292319763
Acinetobacter	0.276280793143526
Gordonibacter	0.490924220118715
Anoxybacillus	0.312494780154232
Roseburia	0.544668162123208
Ruminococcus	0.143646046139249
Clostridium	0.321240990975327
Eggerthella	0.625253540003649
Desulfovibrio	-0.0448943746420288
Bacteroides	0.274806286150322
Adlercreutzia	0.365211089914876
Campylobacter	-0.058053898391801
Unclassified	0.313664885355136
Ethanoligenens	0.0279199157933967
Corynebacterium	-0.0224793482786217
Lactobacillus	0.215779835502084
Thermus	0.305314548759663
Selenomonas	0.0674201642454146
Akkermansia	0.487008142010388
Oscillibacter	0.0676473342794189
Ruminiclostridium	0.470435983813391
Geobacter	0.0803531261571179
Mobiluncus	0.0845055581511752
Odoribacter	0.294214507745698
