Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Bacilli	0.968	0.000157	4.07e-06	0.00059	0.968	0.0009785	7.733e-05	0.002242
Fusobacteriia	0.00317	8.94e-12	0.000283	1	0.0200766666666667	1.6986e-10	0.0026885	1
Deltaproteobacteria	0.045	0.711	0.947	0.0206	0.1425	0.8835	0.986	0.0559142857142857
Clostridia	0.0603	0.471	0.409	0.0102	0.163671428571429	0.813545454545454	0.597769230769231	0.0323
Deinococci	0.00271	0.00391	0.253	1	0.0200766666666667	0.0123816666666667	0.597769230769231	1
Mollicutes	0.00219	0.421	0.0288	0.475	0.0200766666666667	0.7999	0.1824	0.644642857142857
Flavobacteriia	0.651	0.589	0.284	0.000546	0.848666666666667	0.8835	0.597769230769231	0.002242
Spirochaetia	0.783	0.737	0.929	0.000189	0.9298125	0.8835	0.986	0.0017955
Actinobacteria	0.0762	0.000206	0.353	0.173	0.170155555555556	0.0009785	0.597769230769231	0.252846153846154
Negativicutes	0.597	0.836	0.673	0.0244	0.848666666666667	0.8835	0.852466666666667	0.05795
Alphaproteobacteria	0.124	0.712	0.148	0.000577	0.2356	0.8835	0.468666666666667	0.002242
Erysipelotrichia	0.412	0.00292	0.528	0.0344	0.652333333333333	0.011096	0.716571428571429	0.0726222222222222
Epsilonproteobacteria	0.67	0.831	0.0692	4.2e-10	0.848666666666667	0.8835	0.30894	7.98e-09
Betaproteobacteria	0.031	0.0475	0.0813	0.0552	0.1178	0.128928571428571	0.30894	0.10488
Bacteroidia	0.00751	0.0564	0.278	0.0922	0.0356725	0.13395	0.597769230769231	0.145983333333333
Unclassified	0.325	0.933	0.388	0.797	0.561363636363636	0.933	0.597769230769231	0.9785
Gammaproteobacteria	0.895	0.837	0.379	0.824	0.944722222222222	0.8835	0.597769230769231	0.9785
Sphingobacteriia	0.0806	0.17	0.896	0.0631	0.170155555555556	0.358888888888889	0.986	0.108990909090909
Verrucomicrobiae	0.891	2.84e-06	0.986	1	0.944722222222222	2.698e-05	0.986	1
