Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Eubacteriaceae	0.0716	0.00297	0.563	0.00624	0.249553333333333	0.0101475	0.997	0.0232581818181818
Spirochaetaceae	0.796	0.556	0.649	0.000287	0.865315789473684	0.735354838709677	0.997	0.001681
Comamonadaceae	0.0828	0.0855	0.629	0.0231	0.249553333333333	0.159340909090909	0.997	0.0728538461538461
Prevotellaceae	0.858	0.00623	0.00691	0.156	0.902	0.018245	0.127373333333333	0.278086956521739
Lactobacillaceae	0.548	0.042	0.531	1	0.710666666666667	0.0906315789473684	0.997	1
Micrococcaceae	0.412	0.0283	0.181	0.31	0.603285714285714	0.0682529411764706	0.824555555555555	0.470740740740741
Rhodobacteraceae	0.0913	0.441	0.143	5.88e-06	0.249553333333333	0.62348275862069	0.738	8.036e-05
Bacillaceae	0.00155	0.00139	0.533	1	0.0220033333333333	0.00712375	0.997	1
Veillonellaceae	0.905	0.0156	0.775	0.196	0.905	0.04264	0.997	0.334833333333333
Coriobacteriaceae	0.243	4.11e-06	0.943	0.0715	0.474428571428571	3.5506e-05	0.997	0.154289473684211
Erysipelotrichaceae	0.412	0.00292	0.528	0.0344	0.603285714285714	0.0101475	0.997	0.08815
Geobacteraceae	0.0483	0.503	0.808	0.401	0.220033333333333	0.687433333333333	0.997	0.530354838709677
Streptococcaceae	0.436	9.49e-05	0.000429	0.0331	0.616413793103448	0.000648483333333333	0.017589	0.08815
Desulfovibrionaceae	0.175	0.983	0.775	0.0143	0.377631578947368	0.983	0.997	0.0488583333333333
Oscillospiraceae	0.171	0.241	0.512	0.000993	0.377631578947368	0.429608695652174	0.997	0.005089125
Verrucomicrobiaceae	0.891	2.84e-06	0.986	1	0.905	3.5506e-05	0.997	1
Pasteurellaceae	0.605	0.368	0.966	1	0.729558823529412	0.602384615384615	0.997	1
Clostridiaceae	0.0136	0.00126	0.00932	0.81	0.0929333333333333	0.00712375	0.127373333333333	0.980382352941176
Thermaceae	0.00161	0.00247	0.231	1	0.0220033333333333	0.0101475	0.9471	1
Enterococcaceae	0.458	5.39e-33	0.88	0.12	0.625933333333333	2.2099e-31	0.997	0.223636363636364
Unclassified	0.036	0.42	0.839	0.383	0.210857142857143	0.615	0.997	0.530354838709677
Acholeplasmataceae	0.802	0.966	0.64	0.1	0.865315789473684	0.983	0.997	0.195238095238095
Porphyromonadaceae	0.38	0.00286	0.903	1.31e-06	0.599230769230769	0.0101475	0.997	2.6855e-05
Lachnospiraceae	0.124	0.382	0.279	0.0686	0.31775	0.602384615384615	0.95325	0.154289473684211
Actinomycetaceae	0.572	0.87	0.0227	0.397	0.710666666666667	0.983	0.232675	0.530354838709677
Burkholderiaceae	0.00843	0.0371	0.493	0.813	0.0864075	0.0845055555555556	0.997	0.980382352941176
Methylobacteriaceae	0.0559	0.75	0.923	1	0.22919	0.904411764705882	0.997	1
Peptostreptococcaceae	0.0887	0.652	0.261	0.0324	0.249553333333333	0.810060606060606	0.95325	0.08815
Corynebacteriaceae	0.158	0.978	0.699	0.329	0.377631578947368	0.983	0.997	0.48175
Ruminococcaceae	0.222	0.623	0.827	0.000231	0.4551	0.79821875	0.997	0.0015785
Flavobacteriaceae	0.269	0.397	0.392	0.000211	0.501318181818182	0.602851851851852	0.997	0.0015785
Rikenellaceae	0.0855	0.0222	0.997	0.00466	0.249553333333333	0.0568875	0.997	0.019106
Peptococcaceae	0.317	0.369	0.733	0.046	0.51988	0.602384615384615	0.997	0.110941176470588
Moraxellaceae	0.000835	0.00546	0.975	1	0.0220033333333333	0.01722	0.997	1
Campylobacteraceae	0.639	0.801	0.0602	3.48e-10	0.748542857142857	0.938314285714286	0.49364	1.4268e-08
Acidaminococcaceae	0.78	0.954	0.986	0.00287	0.865315789473684	0.983	0.997	0.0130744444444444
Enterobacteriaceae	0.569	6.35e-19	0.933	0.765	0.710666666666667	1.30175e-17	0.997	0.98015625
Rhizobiaceae	0.289	0.952	0.128	0.286	0.515173913043478	0.983	0.738	0.46904
Fusobacteriaceae	0.31	4.33e-06	0.695	0.00021	0.51988	3.5506e-05	0.997	0.0015785
Bacteroidaceae	0.0106	0.0706	0.144	0.0768	0.08692	0.14473	0.738	0.15744
Paenibacillaceae	0.0461	0.079	0.388	0.304	0.220033333333333	0.154238095238095	0.997	0.470740740740741
