Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Veillonella	0.598	0.883	0.974	1	0.735365853658537	0.93936170212766	0.997	1
Paludibacter	0.156	0.323	0.743	9.96e-05	0.35625	0.461428571428571	0.997	0.000553333333333333
Olsenella	0.819	1.86e-26	0.467	0.708	0.875510204081633	4.65e-25	0.997	0.956756756756757
Faecalibacterium	0.0379	0.227	0.75	8.41e-05	0.172272727272727	0.3546875	0.997	0.000525625
Acidaminococcus	0.78	0.954	0.986	0.00287	0.866666666666667	0.973469387755102	0.997	0.0110384615384615
Lactococcus	0.234	2.19e-69	0.839	1.82e-10	0.433333333333333	1.095e-67	0.997	9.1e-09
Prevotella	0.858	0.00623	0.00691	0.156	0.875510204081633	0.0129791666666667	0.0858333333333333	0.288888888888889
Faecalitalea	0.422	0.00272	0.529	0.0355	0.594444444444444	0.00736842105263158	0.997	0.0845238095238095
Bacillus	0.113	0.147	0.000251	0.883	0.2825	0.237096774193548	0.006275	1
Blautia	0.0886	0.0024	0.24	0.0399	0.260588235294118	0.00705882352941176	0.8	0.0906818181818182
Geobacillus	0.00117	0.00114	0.819	1	0.0195	0.00407142857142857	0.997	1
Streptococcus	0.585	0.00384	0.00503	0.0298	0.735365853658537	0.00914285714285714	0.0838333333333333	0.0745
Slackia	0.255	9.88e-07	0.495	1	0.455357142857143	6.175e-06	0.997	1
Alkaliphilus	0.386	0.652	0.671	0.385	0.584848484848485	0.795121951219512	0.997	0.6015625
Peptoclostridium	0.055	0.451	0.139	0.0444	0.199642857142857	0.593421052631579	0.72	0.0965217391304348
Eubacterium	0.0716	0.00297	0.563	0.00624	0.238666666666667	0.007425	0.997	0.0195
Methylobacterium	0.0559	0.75	0.923	1	0.199642857142857	0.852272727272727	0.997	1
Escherichia	0.677	1.12e-17	0.355	0.479	0.787209302325582	1.86666666666667e-16	0.997	0.704411764705882
Haemophilus	0.603	0.347	0.969	1	0.735365853658537	0.481944444444444	0.997	1
Ralstonia	0.106	0.00579	0.511	0.75	0.278947368421053	0.0125869565217391	0.997	0.986842105263158
Alistipes	0.0855	0.0222	0.997	0.00466	0.260588235294118	0.0426923076923077	0.997	0.0155333333333333
Desulfotomaculum	0.231	0.0698	0.96	0.0744	0.433333333333333	0.121724137931034	0.997	0.147692307692308
Lachnoclostridium	0.00336	0.576	1.62e-06	5.65e-07	0.028	0.72	8.1e-05	9.41666666666667e-06
Porphyromonas	0.000582	4.61e-08	0.957	0.579	0.0195	4.61e-07	0.997	0.804166666666667
Parabacteroides	0.409	0.00111	0.862	2.15e-06	0.594444444444444	0.00407142857142857	0.997	2.15e-05
Coprococcus	0.834	0.95	0.841	0.029	0.875510204081633	0.973469387755102	0.997	0.0745
Atopobium	0.269	2.51e-07	0.52	0.0554	0.463793103448276	1.79285714285714e-06	0.997	0.115416666666667
Acinetobacter	0.000816	0.00537	0.979	1	0.0195	0.0122045454545455	0.997	1
Gordonibacter	0.475	1.83e-06	0.967	0.234	0.641891891891892	1.01666666666667e-05	0.997	0.417857142857143
Anoxybacillus	0.00238	0.00144	0.0286	1	0.0238	0.0048	0.204285714285714	1
Roseburia	0.0293	1.87e-07	0.197	0.516	0.1465	1.55833333333333e-06	0.757692307692308	0.737142857142857
Ruminococcus	0.842	0.144	0.0103	3.04e-06	0.875510204081633	0.237096774193548	0.0858333333333333	2.53333333333333e-05
Clostridium	0.0131	0.00108	0.00946	0.868	0.081875	0.00407142857142857	0.0858333333333333	1
Eggerthella	0.428	7.57e-10	0.608	0.255	0.594444444444444	9.4625e-09	0.997	0.439655172413793
Desulfovibrio	0.0222	0.81	0.88	0.00738	0.123333333333333	0.880434782608696	0.997	0.0217058823529412
Bacteroides	0.0106	0.0706	0.144	0.0768	0.0757142857142857	0.121724137931034	0.72	0.147692307692308
Adlercreutzia	0.167	0.0028	0.871	0.000904	0.35625	0.00736842105263158	0.997	0.00410909090909091
Campylobacter	0.668	0.796	0.0451	6.35e-10	0.787209302325582	0.880434782608696	0.281875	1.5875e-08
Unclassified	0.348	0.0129	0.724	1.05e-06	0.54375	0.0258	0.997	1.3125e-05
Ethanoligenens	0.346	0.741	0.774	0.004	0.54375	0.852272727272727	0.997	0.0142857142857143
Corynebacterium	0.158	0.978	0.699	0.329	0.35625	0.978	0.997	0.530645161290323
Lactobacillus	0.547	0.0404	0.529	1	0.719736842105263	0.0748148148148148	0.997	1
Thermus	0.0016	0.0021	0.239	1	0.02	0.0065625	0.8	1
Selenomonas	0.095	0.702	0.184	4.75e-05	0.263888888888889	0.835714285714286	0.757692307692308	0.000339285714285714
Akkermansia	0.891	2.84e-06	0.986	1	0.891	1.42e-05	0.997	1
Oscillibacter	0.171	0.241	0.512	0.000993	0.35625	0.365151515151515	0.997	0.0041375
Ruminiclostridium	0.732	5.44e-06	0.825	0.029	0.831818181818182	2.47272727272727e-05	0.997	0.0745
Geobacter	0.0483	0.503	0.808	0.401	0.199642857142857	0.644871794871795	0.997	0.607575757575758
Mobiluncus	0.326	0.289	0.166	0.32	0.543333333333333	0.425	0.754545454545455	0.530645161290323
Odoribacter	0.194	0.374	0.287	0.000363	0.388	0.505405405405405	0.896875	0.001815
