Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Burkholderiales	0.0765	0.194	0.0778	0.00345	0.174892307692308	0.452666666666667	0.43568	0.01932
Bacillales	0.00066	0.00668	0.755	1	0.0150266666666667	0.02338	0.986	1
Thermales	0.00161	0.00247	0.231	1	0.0150266666666667	0.0115266666666667	0.883555555555556	1
Thermoanaerobacterales	0.0435	0.446	0.501	0.433	0.15225	0.693777777777778	0.912470588235294	0.673555555555556
Acholeplasmatales	0.802	0.966	0.64	0.1	0.831703703703704	0.995	0.986	0.175
Bacteroidales	0.00751	0.0564	0.278	0.0922	0.042056	0.15792	0.883555555555556	0.172106666666667
Clostridiales	0.0601	0.471	0.41	0.0102	0.16968	0.694105263157895	0.900307692307692	0.0408
Actinomycetales	0.0367	0.83	0.418	0.567	0.1468	0.975333333333333	0.900307692307692	0.835578947368421
Rhizobiales	0.293	0.995	0.455	0.0137	0.482588235294118	0.995	0.91	0.04795
Rhodobacterales	0.0812	0.328	0.24	4.87e-07	0.174892307692308	0.6825	0.883555555555556	6.818e-06
Fusobacteriales	0.00317	8.94e-12	0.000283	1	0.02219	1.2516e-10	0.003962	1
Verrucomicrobiales	0.891	2.84e-06	0.986	1	0.891	2.65066666666667e-05	0.986	1
Erysipelotrichales	0.412	0.00292	0.528	0.0344	0.607157894736842	0.01168	0.912470588235294	0.0802666666666667
Pseudomonadales	0.00135	0.00798	0.00707	1	0.0150266666666667	0.0248266666666667	0.0659866666666667	1
Campylobacterales	0.665	0.817	0.071	3.64e-10	0.7448	0.975333333333333	0.43568	1.0192e-08
Enterobacteriales	0.569	6.35e-19	0.933	0.765	0.736521739130435	1.778e-17	0.986	1
Lactobacillales	0.346	2.09e-05	0.000117	0.0186	0.538222222222222	0.00011704	0.003276	0.05208
Desulfuromonadales	0.0606	0.444	0.724	0.84	0.16968	0.693777777777778	0.986	1
Sphingobacteriales	0.0806	0.17	0.896	0.0631	0.174892307692308	0.432727272727273	0.986	0.135907692307692
Pasteurellales	0.605	0.368	0.966	1	0.736521739130435	0.6825	0.986	1
Flavobacteriales	0.651	0.589	0.284	0.000546	0.7448	0.8246	0.883555555555556	0.003822
Rhodospirillales	0.0169	0.345	0.368	0.0159	0.0788666666666667	0.6825	0.900307692307692	0.0494666666666667
Desulfovibrionales	0.168	0.989	0.83	0.00941	0.3136	0.995	0.986	0.0408
Selenomonadales	0.597	0.836	0.673	0.0244	0.736521739130435	0.975333333333333	0.986	0.0621090909090909
Spirochaetales	0.783	0.737	0.929	0.000189	0.831703703703704	0.975333333333333	0.986	0.001764
Chromatiales	0.13	0.39	0.554	0.426	0.26	0.6825	0.912470588235294	0.673555555555556
Coriobacteriales	0.243	4.11e-06	0.943	0.0715	0.42525	2.877e-05	0.986	0.143
Unclassified	0.536	0.963	0.329	0.869	0.736521739130435	0.995	0.900307692307692	1
