Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Proteobacteria	0.877	0.91	0.555	0.782	0.891	0.987	0.666	1
Deinococcus-Thermus	0.00271	0.00391	0.253	1	0.01268	0.01173	0.618	1
Bacteroidetes	0.00753	0.0624	0.279	0.0878	0.02259	0.14976	0.618	0.21072
Tenericutes	0.00219	0.421	0.0288	0.475	0.01268	0.828	0.1728	0.814285714285714
Firmicutes	0.0928	0.483	0.402	0.0193	0.159085714285714	0.828	0.618	0.0772
Verrucomicrobia	0.891	2.87e-06	0.986	1	0.891	1.722e-05	0.986	1
Cyanobacteria	0.0486	0.987	0.377	0.0067	0.11664	0.987	0.618	0.0402
Actinobacteria	0.0762	0.000206	0.353	0.173	0.1524	0.000824	0.618	0.346
Chloroflexi	0.353	0.552	0.519	0.0355	0.5295	0.828	0.666	0.1065
Fusobacteria	0.00317	8.94e-12	0.000283	1	0.01268	1.0728e-10	0.003396	1
Unclassified	0.601	0.872	0.412	0.823	0.801333333333333	0.987	0.618	1
Spirochaetes	0.783	0.737	0.929	0.000189	0.891	0.982666666666667	0.986	0.002268
