Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participantp-val adj
Streptococcus anginosus	0.00716	1.88e-05	0.981	1	0.05549	7.285e-05	0.986	1
Roseburia hominis	0.101	7.12e-06	0.248	0.484	0.342631578947368	3.15314285714286e-05	0.986	0.60016
Eubacterium rectale	0.0706	0.000659	0.592	0.000911	0.257482352941176	0.0020429	0.986	0.00332247058823529
Haemophilus parainfluenzae	0.605	0.347	0.968	1	0.7502	0.478088888888889	0.986	1
Acidaminococcus fermentans	0.343	0.507	0.237	0.00197	0.5363	0.65472	0.986	0.00642842105263158
Parabacteroides distasonis	0.409	0.00111	0.862	2.15e-06	0.618487804878049	0.00327714285714286	0.986	2.22166666666667e-05
Ruminococcus bromii	0.341	0.0648	0.00125	3.9e-09	0.5363	0.121745454545455	0.0129166666666667	1.209e-07
Geobacillus sp.	0.00226	0.000129	0.0165	1	0.029512	0.000470470588235294	0.146142857142857	1
Anoxybacillus flavithermus	0.00238	0.00144	0.0286	1	0.029512	0.00405818181818182	0.22165	1
Peptoclostridium difficile	0.0592	0.481	0.146	0.0399	0.257482352941176	0.634510638297872	0.791692307692308	0.07730625
Alistipes finegoldii	0.195	1.66e-07	0.913	4.39e-06	0.447777777777778	1.47028571428571e-06	0.986	3.88828571428572e-05
Gordonibacter pamelaeae	0.475	1.83e-06	0.967	0.234	0.629234042553191	9.455e-06	0.986	0.3224
Ruminococcus champanellensis	0.751	0.832	0.96	0.00262	0.794440677966102	0.892586206896552	0.986	0.008122
Bacteroides thetaiotaomicron	0.237	0.258	0.912	7.07e-05	0.4898	0.4061	0.986	0.00043834
[Ruminococcus] obeum	0.142	0.000578	0.396	0.146	0.400181818181818	0.00188610526315789	0.986	0.232102564102564
Bacteroides vulgatus	0.105	0.00673	0.609	0.398	0.342631578947368	0.0149021428571429	0.986	0.514083333333333
Bacteroides helcogenes	0.0362	0.273	0.929	0.0166	0.195816666666667	0.412829268292683	0.986	0.0395846153846154
[Clostridium] saccharolyticum	0.00345	0.528	1.53e-06	5.1e-07	0.0323285714285714	0.65472	4.743e-05	6.324e-06
Prevotella melaninogenica	0.297	0.893	0.959	5.96e-05	0.5115	0.922766666666667	0.986	0.000410577777777778
Paludibacter propionicigenes	0.156	0.323	0.743	9.96e-05	0.420521739130435	0.455136363636364	0.986	0.0005146
[Eubacterium] eligens	0.457	0.00231	0.129	0.0397	0.629234042553191	0.0059675	0.791692307692308	0.07730625
Lactococcus lactis	0.245	3.35e-70	0.79	4.55e-11	0.49	2.077e-68	0.986	2.821e-09
Bacteroides salanitronis	0.00365	0.835	0.437	0.00296	0.0323285714285714	0.892586206896552	0.986	0.00865181818181818
Ethanoligenens harbinense	0.346	0.741	0.774	0.004	0.5363	0.866830188679245	0.986	0.0106144
Streptococcus thermophilus	0.68	0.93	0.743	0.687	0.794440677966102	0.945245901639344	0.986	0.835176470588235
Akkermansia muciniphila	0.891	2.84e-06	0.986	1	0.891	1.35446153846154e-05	0.986	1
Thermus thermophilus	0.00117	0.00177	0.352	1	0.02418	0.00477130434782609	0.986	1
Clostridium botulinum	0.234	0.559	0.377	0.152	0.4898	0.6665	0.986	0.2356
Veillonella parvula	0.598	0.883	0.974	1	0.7502	0.922766666666667	0.986	1
Prevotella sp.	0.675	0.558	0.728	4.7e-08	0.794440677966102	0.6665	0.986	9.71333333333333e-07
Porphyromonas gingivalis	0.066	0.06	0.792	0.0307	0.257482352941176	0.11625	0.986	0.0679785714285714
Coprococcus catus	0.732	0.262	0.56	0.0492	0.794440677966102	0.4061	0.986	0.0897176470588235
Streptococcus parasanguinis	0.804	0.000285	0.854	0.201	0.8308	0.000981666666666667	0.986	0.283227272727273
Prevotella intermedia	0.477	0.794	0.634	0.00419	0.629234042553191	0.879071428571429	0.986	0.0106144
Eggerthella lenta	0.471	6.16e-10	0.608	0.278	0.629234042553191	9.548e-09	0.986	0.374695652173913
Streptococcus sp.	0.756	0.097	0.434	0.0757	0.794440677966102	0.171828571428571	0.986	0.126848648648649
[Ruminococcus] torques	0.121	0.0182	0.256	0.00307	0.3751	0.0389103448275862	0.986	0.00865181818181818
Faecalitalea cylindroides	0.422	0.00272	0.529	0.0355	0.622952380952381	0.00667692307692308	0.986	0.0733666666666667
Streptococcus salivarius	0.541	0.00524	0.864	0.0656	0.698791666666667	0.0120325925925926	0.986	0.112977777777778
