Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participant p-val adj
Bacilli	0.968	0.000157	4.07e-06	0.00059	0.968	0.0008755	6.919e-05	0.002006
Fusobacteriia	0.00317	8.94e-12	0.000283	1	0.0179633333333333	1.5198e-10	0.0024055	1
Deltaproteobacteria	0.045	0.711	0.947	0.0206	0.1275	0.837	0.986	0.0500285714285714
Clostridia	0.0603	0.471	0.409	0.0102	0.146442857142857	0.8007	0.579416666666667	0.0289
Deinococci	0.00271	0.00391	0.253	1	0.0179633333333333	0.013294	0.536444444444444	1
Mollicutes	0.00219	0.421	0.0288	0.475	0.0179633333333333	0.795222222222222	0.1632	0.621153846153846
Flavobacteriia	0.651	0.589	0.284	0.000546	0.876153846153846	0.837	0.536444444444444	0.002006
Spirochaetia	0.783	0.737	0.929	0.000189	0.950785714285714	0.837	0.986	0.0016065
Actinobacteria	0.0762	0.000206	0.353	0.173	0.152244444444444	0.0008755	0.579416666666667	0.245083333333333
Negativicutes	0.597	0.836	0.673	0.0244	0.876153846153846	0.837	0.880076923076923	0.05185
Alphaproteobacteria	0.124	0.712	0.148	0.000577	0.2108	0.837	0.419333333333333	0.002006
Epsilonproteobacteria	0.67	0.831	0.0692	4.2e-10	0.876153846153846	0.837	0.27642	7.14e-09
Betaproteobacteria	0.031	0.0475	0.0813	0.0552	0.1054	0.134583333333333	0.27642	0.104266666666667
Bacteroidia	0.00751	0.0564	0.278	0.0922	0.0319175	0.136971428571429	0.536444444444444	0.142490909090909
Gammaproteobacteria	0.895	0.837	0.379	0.824	0.9509375	0.837	0.579416666666667	1
Sphingobacteriia	0.0806	0.17	0.896	0.0631	0.152244444444444	0.36125	0.986	0.10727
Verrucomicrobiae	0.891	2.84e-06	0.986	1	0.9509375	2.414e-05	0.986	1
