Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participant p-val adj
Eubacteriaceae	0.0716	0.00297	0.563	0.00624	0.2739	0.0096525	0.986	0.024336
Spirochaetaceae	0.796	0.556	0.649	0.000287	0.868833333333333	0.747724137931035	0.986	0.001599
Comamonadaceae	0.0828	0.0855	0.629	0.0231	0.2739	0.158785714285714	0.986	0.075075
Prevotellaceae	0.858	0.00623	0.00691	0.156	0.904378378378378	0.017355	0.12116	0.276545454545455
Lactobacillaceae	0.548	0.042	0.531	1	0.719612903225806	0.091	0.986	1
Micrococcaceae	0.412	0.0283	0.181	0.31	0.618	0.06898125	0.784333333333333	0.465
Rhodobacteraceae	0.0913	0.441	0.143	5.88e-06	0.2739	0.637	0.702	7.644e-05
Bacillaceae	0.00155	0.00139	0.533	1	0.02093	0.00677625	0.986	1
Veillonellaceae	0.905	0.0156	0.775	0.196	0.905	0.04056	0.986	0.332347826086957
Coriobacteriaceae	0.243	4.11e-06	0.943	0.0715	0.498789473684211	3.3774e-05	0.986	0.154916666666667
Erysipelotrichaceae	0.412	0.00292	0.528	0.0344	0.618	0.0096525	0.986	0.08944
Geobacteraceae	0.0483	0.503	0.808	0.401	0.2354625	0.700607142857143	0.986	0.539275862068966
Streptococcaceae	0.436	9.49e-05	0.000429	0.0331	0.629777777777778	0.00061685	0.016731	0.08944
Desulfovibrionaceae	0.175	0.983	0.775	0.0143	0.401470588235294	0.983	0.986	0.0507
Oscillospiraceae	0.171	0.241	0.512	0.000993	0.401470588235294	0.427227272727273	0.986	0.004840875
Verrucomicrobiaceae	0.891	2.84e-06	0.986	1	0.905	3.3774e-05	0.986	1
Pasteurellaceae	0.605	0.368	0.966	1	0.73734375	0.5955	0.986	1
Clostridiaceae	0.0136	0.00126	0.00932	0.81	0.0884	0.00677625	0.12116	0.99084375
Thermaceae	0.00161	0.00247	0.231	1	0.02093	0.0096525	0.9009	1
Enterococcaceae	0.458	5.39e-33	0.88	0.12	0.637928571428571	2.1021e-31	0.986	0.222857142857143
Acholeplasmataceae	0.802	0.966	0.64	0.1	0.868833333333333	0.983	0.986	0.195
Porphyromonadaceae	0.38	0.00286	0.903	1.31e-06	0.6175	0.0096525	0.986	2.5545e-05
Lachnospiraceae	0.124	0.382	0.279	0.0686	0.345428571428571	0.5955	0.90675	0.154916666666667
Actinomycetaceae	0.572	0.87	0.0227	0.397	0.719612903225806	0.983	0.221325	0.539275862068966
Burkholderiaceae	0.00843	0.0371	0.493	0.813	0.0821925	0.0851117647058823	0.986	0.99084375
Methylobacteriaceae	0.0559	0.75	0.923	1	0.242233333333333	0.9140625	0.986	1
Peptostreptococcaceae	0.0887	0.652	0.261	0.0324	0.2739	0.820258064516129	0.90675	0.08944
Corynebacteriaceae	0.158	0.978	0.699	0.329	0.401470588235294	0.983	0.986	0.475222222222222
Ruminococcaceae	0.222	0.623	0.827	0.000231	0.481	0.8099	0.986	0.0015015
Flavobacteriaceae	0.269	0.397	0.392	0.000211	0.52455	0.5955	0.986	0.0015015
Peptococcaceae	0.317	0.369	0.733	0.046	0.537521739130435	0.5955	0.986	0.112125
Moraxellaceae	0.000835	0.00546	0.975	1	0.02093	0.01638	0.986	1
Campylobacteraceae	0.639	0.801	0.0602	3.48e-10	0.755181818181818	0.946636363636364	0.46956	1.3572e-08
Acidaminococcaceae	0.78	0.954	0.986	0.00287	0.868833333333333	0.983	0.986	0.0124366666666667
Enterobacteriaceae	0.569	6.35e-19	0.933	0.765	0.719612903225806	1.23825e-17	0.986	0.99084375
Rhizobiaceae	0.289	0.952	0.128	0.286	0.536714285714286	0.983	0.702	0.46475
Fusobacteriaceae	0.31	4.33e-06	0.695	0.00021	0.537521739130435	3.3774e-05	0.986	0.0015015
Bacteroidaceae	0.0106	0.0706	0.144	0.0768	0.08268	0.144915789473684	0.702	0.157642105263158
Paenibacillaceae	0.0461	0.079	0.388	0.304	0.2354625	0.15405	0.986	0.465
