Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participant p-val adj
Veillonella	0.598	0.883	0.974	1	0.73490625	0.93072972972973	0.986	1
Paludibacter	0.156	0.323	0.743	9.96e-05	0.362470588235294	0.466555555555556	0.986	0.0006474
Olsenella	0.819	1.86e-26	0.467	0.708	0.880578947368421	3.627e-25	0.986	1
Acidaminococcus	0.78	0.954	0.986	0.00287	0.869142857142857	0.978	0.986	0.0124366666666667
Lactococcus	0.234	2.19e-69	0.839	1.82e-10	0.434571428571429	8.541e-68	0.986	7.098e-09
Prevotella	0.858	0.00623	0.00691	0.156	0.880578947368421	0.0127878947368421	0.08034	0.357882352941176
Bacillus	0.113	0.147	0.000251	0.883	0.2938	0.238875	0.009789	1
Geobacillus	0.00117	0.00114	0.819	1	0.01521	0.003705	0.986	1
Streptococcus	0.585	0.00384	0.00503	0.0298	0.73490625	0.00936	0.08034	0.0894
Slackia	0.255	9.88e-07	0.495	1	0.452045454545455	4.8165e-06	0.986	1
Alkaliphilus	0.386	0.652	0.671	0.385	0.579	0.820258064516129	0.986	0.710863636363636
Eubacterium	0.0716	0.00297	0.563	0.00624	0.2327	0.007722	0.986	0.0221236363636364
Methylobacterium	0.0559	0.75	0.923	1	0.198190909090909	0.860294117647059	0.986	1
Escherichia	0.677	1.12e-17	0.355	0.479	0.776558823529412	1.456e-16	0.986	0.812217391304348
Haemophilus	0.603	0.347	0.969	1	0.73490625	0.483321428571429	0.986	1
Ralstonia	0.106	0.00579	0.511	0.75	0.2938	0.012545	0.986	1
Desulfotomaculum	0.231	0.0698	0.96	0.0744	0.434571428571429	0.125154545454545	0.986	0.1872
Porphyromonas	0.000582	4.61e-08	0.957	0.579	0.01521	3.5958e-07	0.986	0.90324
Parabacteroides	0.409	0.00111	0.862	2.15e-06	0.590777777777778	0.003705	0.986	2.795e-05
Atopobium	0.269	2.51e-07	0.52	0.0554	0.456130434782609	1.39842857142857e-06	0.986	0.154328571428571
Acinetobacter	0.000816	0.00537	0.979	1	0.01521	0.0123194117647059	0.986	1
Anoxybacillus	0.00238	0.00144	0.0286	1	0.018564	0.00432	0.1859	1
Roseburia	0.0293	1.87e-07	0.197	0.516	0.126966666666667	1.2155e-06	0.698454545454545	0.8385
Ruminococcus	0.842	0.144	0.0103	3.04e-06	0.880578947368421	0.238875	0.08034	2.964e-05
Clostridium	0.0131	0.00108	0.00946	0.868	0.0729857142857143	0.003705	0.08034	1
Eggerthella	0.428	7.57e-10	0.608	0.255	0.596142857142857	7.38075e-09	0.986	0.5525
Desulfovibrio	0.0222	0.81	0.88	0.00738	0.108225	0.8775	0.986	0.023985
Bacteroides	0.0106	0.0706	0.144	0.0768	0.0689	0.125154545454545	0.698454545454545	0.1872
Campylobacter	0.668	0.796	0.0451	6.35e-10	0.776558823529412	0.8775	0.251271428571429	1.23825e-08
Ethanoligenens	0.346	0.741	0.774	0.004	0.53976	0.860294117647059	0.986	0.0156
Corynebacterium	0.158	0.978	0.699	0.329	0.362470588235294	0.978	0.986	0.64155
Lactobacillus	0.547	0.0404	0.529	1	0.73490625	0.07878	0.986	1
Thermus	0.0016	0.0021	0.239	1	0.0156	0.00585	0.77675	1
Selenomonas	0.095	0.702	0.184	4.75e-05	0.285	0.8555625	0.698454545454545	0.0003705
Akkermansia	0.891	2.84e-06	0.986	1	0.891	1.23066666666667e-05	0.986	1
Oscillibacter	0.171	0.241	0.512	0.000993	0.3705	0.37596	0.986	0.004840875
Geobacter	0.0483	0.503	0.808	0.401	0.18837	0.6539	0.986	0.710863636363636
Mobiluncus	0.326	0.289	0.166	0.32	0.52975	0.4335	0.698454545454545	0.64155
Odoribacter	0.194	0.374	0.287	0.000363	0.39821052631579	0.502965517241379	0.861	0.00202242857142857
