Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participant p-val adj
Burkholderiales	0.0765	0.194	0.0778	0.00345	0.168646153846154	0.4365	0.42012	0.01863
Bacillales	0.00066	0.00668	0.755	1	0.01449	0.022545	0.986	1
Thermales	0.00161	0.00247	0.231	1	0.01449	0.011115	0.852	1
Thermoanaerobacterales	0.0435	0.446	0.501	0.433	0.1468125	0.669	0.934875	0.6495
Acholeplasmatales	0.802	0.966	0.64	0.1	0.832846153846154	0.995	0.986	0.16875
Bacteroidales	0.00751	0.0564	0.278	0.0922	0.040554	0.15228	0.852	0.16596
Clostridiales	0.0601	0.471	0.41	0.0102	0.16362	0.669315789473684	0.934875	0.0393428571428571
Actinomycetales	0.0367	0.83	0.418	0.567	0.141557142857143	0.9405	0.934875	0.805736842105263
Rhizobiales	0.293	0.995	0.455	0.0137	0.465352941176471	0.995	0.934875	0.0462375
Rhodobacterales	0.0812	0.328	0.24	4.87e-07	0.168646153846154	0.658125	0.852	6.5745e-06
Fusobacteriales	0.00317	8.94e-12	0.000283	1	0.0213975	1.2069e-10	0.0038205	1
Verrucomicrobiales	0.891	2.84e-06	0.986	1	0.891	2.556e-05	0.986	1
Erysipelotrichales	0.412	0.00292	0.528	0.0344	0.585473684210526	0.0112628571428571	0.934875	0.0774
Pseudomonadales	0.00135	0.00798	0.00707	1	0.01449	0.02394	0.06363	1
Campylobacterales	0.665	0.817	0.071	3.64e-10	0.748125	0.9405	0.42012	9.828e-09
Enterobacteriales	0.569	6.35e-19	0.933	0.765	0.7425	1.7145e-17	0.986	1
Lactobacillales	0.346	2.09e-05	0.000117	0.0186	0.519	0.00011286	0.003159	0.05022
Desulfuromonadales	0.0606	0.444	0.724	0.84	0.16362	0.669	0.986	1
Sphingobacteriales	0.0806	0.17	0.896	0.0631	0.168646153846154	0.417272727272727	0.986	0.131053846153846
Pasteurellales	0.605	0.368	0.966	1	0.7425	0.658125	0.986	1
Flavobacteriales	0.651	0.589	0.284	0.000546	0.748125	0.79515	0.852	0.0036855
Rhodospirillales	0.0169	0.345	0.368	0.0159	0.07605	0.658125	0.934875	0.0477
Desulfovibrionales	0.168	0.989	0.83	0.00941	0.3024	0.995	0.986	0.0393428571428571
Selenomonadales	0.597	0.836	0.673	0.0244	0.7425	0.9405	0.986	0.0598909090909091
Spirochaetales	0.783	0.737	0.929	0.000189	0.832846153846154	0.9405	0.986	0.001701
Chromatiales	0.13	0.39	0.554	0.426	0.250714285714286	0.658125	0.934875	0.6495
Coriobacteriales	0.243	4.11e-06	0.943	0.0715	0.4100625	2.77425e-05	0.986	0.137892857142857
