Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participant p-val adj
Proteobacteria	0.877	0.91	0.555	0.782	0.891	0.987	0.678333333333333	1
Deinococcus-Thermus	0.00271	0.00391	0.253	1	0.0116233333333333	0.0107525	0.631714285714286	1
Bacteroidetes	0.00753	0.0624	0.279	0.0878	0.0207075	0.13728	0.631714285714286	0.19316
Tenericutes	0.00219	0.421	0.0288	0.475	0.0116233333333333	0.759	0.1584	0.746428571428571
Firmicutes	0.0928	0.483	0.402	0.0193	0.145828571428571	0.759	0.631714285714286	0.0707666666666667
Verrucomicrobia	0.891	2.87e-06	0.986	1	0.891	1.5785e-05	0.986	1
Cyanobacteria	0.0486	0.987	0.377	0.0067	0.10692	0.987	0.631714285714286	0.03685
Actinobacteria	0.0762	0.000206	0.353	0.173	0.1397	0.000755333333333333	0.631714285714286	0.317166666666667
Chloroflexi	0.353	0.552	0.519	0.0355	0.485375	0.759	0.678333333333333	0.097625
Fusobacteria	0.00317	8.94e-12	0.000283	1	0.0116233333333333	9.834e-11	0.003113	1
Spirochaetes	0.783	0.737	0.929	0.000189	0.891	0.900777777777778	0.986	0.002079
