Taxa	Origin P-value	16S P-value	Interaction P-value	Participant P-value	Origin p-val adj	16S p-val adj	Interaction p-val adj	Participant p-val adj
Roseburia hominis	0.101	7.12e-06	0.248	0.484	0.353181818181818	2.92711111111111e-05	0.986	0.61751724137931
Eubacterium rectale	0.0706	0.000659	0.592	0.000911	0.290244444444444	0.00203191666666667	0.986	0.00334009090909091
Haemophilus parainfluenzae	0.605	0.347	0.968	1	0.746166666666667	0.51356	0.986	1
Acidaminococcus fermentans	0.343	0.507	0.237	0.00197	0.533416666666667	0.685821428571429	0.986	0.00607416666666667
Parabacteroides distasonis	0.409	0.00111	0.862	2.15e-06	0.60532	0.00315923076923077	0.986	2.65166666666667e-05
Anoxybacillus flavithermus	0.00238	0.00144	0.0286	1	0.022015	0.00380571428571429	0.352733333333333	1
Ruminococcus champanellensis	0.751	0.832	0.96	0.00262	0.817264705882353	0.936212121212121	0.986	0.00745692307692308
Bacteroides thetaiotaomicron	0.237	0.258	0.912	7.07e-05	0.523285714285714	0.47295652173913	0.986	0.00052318
Bacteroides vulgatus	0.105	0.00673	0.609	0.398	0.353181818181818	0.0146476470588235	0.986	0.545407407407407
Bacteroides helcogenes	0.0362	0.273	0.929	0.0166	0.191342857142857	0.47295652173913	0.986	0.0383875
Prevotella melaninogenica	0.297	0.893	0.959	5.96e-05	0.523285714285714	0.944028571428571	0.986	0.00052318
Paludibacter propionicigenes	0.156	0.323	0.743	9.96e-05	0.481	0.497958333333333	0.986	0.0006142
Lactococcus lactis	0.245	3.35e-70	0.79	4.55e-11	0.523285714285714	1.2395e-68	0.986	1.6835e-09
Bacteroides salanitronis	0.00365	0.835	0.437	0.00296	0.02701	0.936212121212121	0.986	0.00782285714285714
Ethanoligenens harbinense	0.346	0.741	0.774	0.004	0.533416666666667	0.9139	0.986	0.00986666666666667
Streptococcus thermophilus	0.68	0.93	0.743	0.687	0.78625	0.955833333333333	0.986	0.845032258064516
Akkermansia muciniphila	0.891	2.84e-06	0.986	1	0.891	1.3135e-05	0.986	1
Thermus thermophilus	0.00117	0.00177	0.352	1	0.01443	0.004366	0.986	1
Clostridium botulinum	0.234	0.559	0.377	0.152	0.523285714285714	0.713206896551724	0.986	0.267809523809524
Veillonella parvula	0.598	0.883	0.974	1	0.746166666666667	0.944028571428571	0.986	1
Porphyromonas gingivalis	0.066	0.06	0.792	0.0307	0.290244444444444	0.123333333333333	0.986	0.0668176470588235
Streptococcus parasanguinis	0.804	0.000285	0.854	0.201	0.84175	0.000958636363636364	0.986	0.309875
Eggerthella lenta	0.471	6.16e-10	0.608	0.278	0.645444444444444	5.698e-09	0.986	0.41144
Streptococcus salivarius	0.541	0.00524	0.864	0.0656	0.714892857142857	0.0121175	0.986	0.12136
Desulfovibrio vulgaris	0.0253	0.519	0.847	0.2	0.156016666666667	0.685821428571429	0.986	0.309875
Escherichia coli	0.668	1.19e-17	0.341	0.481	0.78625	1.46766666666667e-16	0.986	0.61751724137931
Odoribacter splanchnicus	0.194	0.374	0.287	0.000363	0.512714285714286	0.532230769230769	0.986	0.00149233333333333
Olsenella uli	0.819	1.86e-26	0.467	0.708	0.84175	3.441e-25	0.986	0.845032258064516
Porphyromonas asaccharolytica	3.2e-05	6.78e-09	0.694	0.175	0.000592	5.0172e-08	0.986	0.294318181818182
Slackia heliotrinireducens	0.255	9.88e-07	0.495	1	0.523285714285714	5.22228571428571e-06	0.986	1
Oscillibacter valericigenes	0.171	0.241	0.512	0.000993	0.486692307692308	0.469315789473684	0.986	0.00334009090909091
Bacteroides fragilis	3.4e-06	1.23e-05	1.65e-16	0.00022	0.0001258	4.551e-05	6.105e-15	0.0010175
Selenomonas ruminantium	0.721	0.294	0.161	0.0345	0.808393939393939	0.47295652173913	0.986	0.0709166666666667
Mobiluncus curtisii	0.326	0.289	0.166	0.32	0.533416666666667	0.47295652173913	0.986	0.455384615384615
Prevotella ruminicola	0.288	0.971	2.43e-05	2.12e-07	0.523285714285714	0.971	0.00044955	3.922e-06
Ruminococcus albus	0.446	0.793	0.285	0.000186	0.634692307692308	0.936212121212121	0.986	0.000983142857142857
Atopobium parvulum	0.269	2.51e-07	0.52	0.0554	0.523285714285714	1.54783333333333e-06	0.986	0.107884210526316
