Taxa	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Eubacterium_rectale	2.77868195691403	2.62493145353964	0.69341648895793	2.46617004497955e-18	0.596708588546017	2.67563748934663e-14	2.42583730880597e-13	0.686876203435014	2.759093560234e-07	5.91880810795092e-18	0.828280364464724	5.92859095149834e-14	5.82200954113432e-13	0.824251444122016	6.6218245445616e-07
Bacteroides_vulgatus	3.8257432047592	3.61653737295653	1.73514284031091	1.4814765588523e-24	0.237961657817539	1.88737914186277e-15	3.06421554796543e-14	0.632523915752901	6.97747331692434e-07	5.92590623540921e-24	0.623958985861649	7.54951656745106e-15	9.22595333463505e-14	0.824251444122016	1.39549466338487e-06
.Eubacterium._eligens	1.9540525045581	1.83212657917289	0.15043617005554	2.5480874561272e-16	0.690233637053937	2.96429547574917e-14	5.5498938777987e-12	0.609367126975309	8.1922314182295e-05	5.09617491225439e-16	0.828280364464724	5.92859095149834e-14	1.10997877555974e-11	0.824251444122016	0.000140438252883934
Streptococcus_thermophilus	1.04872804335358	0.80805494493374	0	1.20706892236223e-06	0.259982910775687	6.62909486415231e-07	0.00122892503045147	0.385541862946739	0.000296840569060784	1.6094252298163e-06	0.623958985861649	8.83879315220308e-07	0.00163856670726862	0.771083725893477	0.000395787425414378
Akkermansia_muciniphila	1.85962450889462	1.61482646806439	0.632661966377829	0.000862241226533113	0.600131237524014	0.000538441743432316	0.0245925829573023	0.202067439216098	1.25252562188564e-11	0.000940626792581578	0.828280364464724	0.00064613009211878	0.026828272317057	0.771083725893477	1.50303074626277e-10
.Ruminococcus._torques	2.37416728973629	2.37112514494189	0.396063936108425	2.66349263520484e-26	0.999628599449879	1.66533453693773e-15	1.0325074129014e-14	0.278509653322803	0.000148091850259569	1.5980955811229e-25	0.999628599449879	7.54951656745106e-15	6.19504447740837e-14	0.771083725893477	0.000222137775389354
Enterococcus_faecalis	0.620025783173332	0.549494407753339	0	2.01351324137359e-07	0.678252389863963	9.02082288867234e-08	4.67527676499824e-05	0.350968757023035	0.000692562048247417	3.02026986206038e-07	0.828280364464724	1.35312343330085e-07	7.01291514749736e-05	0.771083725893477	0.000692562048247417
Escherichia_coli	1.63837949142201	2.67569940151993	1.56399873245408	1.05100878262112e-05	9.33190556329233e-06	0.958658276823107	0.00148252455263098	0.36936748469414	2.67583687181593e-10	1.26121053914535e-05	0.000111982866759508	0.958658276823107	0.00177902946315718	0.771083725893477	1.60550212308956e-09
Faecalibacterium_prausnitzii	3.13404856569183	3.18048679779973	1.17842009056265	1.71135398275459e-20	0.941142152814868	1.67643676718399e-14	3.07531777821168e-14	0.959312139068961	0.000568641161109199	5.13406194826376e-20	0.999628599449879	5.02931030155196e-14	9.22595333463505e-14	0.959312139068961	0.000676733629137039
Fusobacterium_nucleatum	0.137588451180347	0.321471920405318	0.0442495621236677	0.0206922331941941	0.0424380663688454	0.589491376956174	0.0353091742749	0.262459246367356	0.000620339160042286	0.0206922331941941	0.254628398213072	0.643081502134008	0.0353091742749	0.771083725893477	0.000676733629137039
Bacteroides_fragilis	3.20074088098199	3.01683249330939	0.847876327386512	1.21106415810214e-34	0.221784116488105	1.66533453693773e-15	1.66533453693773e-15	0.934748680944395	2.35854240643517e-08	1.45327698972257e-33	0.623958985861649	7.54951656745106e-15	1.99840144432528e-14	0.959312139068961	9.43416962574067e-08
Bifidobacterium_longum	1.4658937693854	1.24054241712829	0.110529490905171	9.34825457881848e-10	0.315211626688148	3.73386321861346e-10	5.34783075001322e-06	0.456068803550225	2.08760448226741e-07	1.60255792779745e-09	0.630423253376296	6.40090837476594e-10	9.16770985716551e-06	0.781832234657529	6.26281344680222e-07
