Taxa	correlation
Bacilli	0.631898546790864
Thermotogae	0.22722640080072
Fusobacteriia	0.553564008357509
Deltaproteobacteria	0.113138213072645
Clostridia	0.416191817783298
Deinococci	0.587477091505755
Mollicutes	-0.0501807531953013
Flavobacteriia	-0.00200421413942196
Spirochaetia	0.0317692790913435
Acidobacteriia	0.0670940231331902
Actinobacteria	0.247612235635444
Negativicutes	0.168769096023674
Dehalococcoidia	-0.0130453420485657
Alphaproteobacteria	0.138381874735591
Erysipelotrichia	0.210006030036845
Epsilonproteobacteria	-0.144347876829193
Betaproteobacteria	0.105154474706189
Bacteroidia	0.600437404232379
Cytophagia	-0.137444992631263
Unclassified	0.305385580411766
Gammaproteobacteria	0.196894796507209
Aquificae	0.0179070600745542
Sphingobacteriia	0.248070555353622
Chlorobia	0.0851301322876433
Verrucomicrobiae	0.738656346476702
