Taxa	correlation
Proteobacteria	0.0823906892668045
Deinococcus-Thermus	0.587477091505755
Thermotogae	0.22722640080072
Bacteroidetes	0.603225394597996
Tenericutes	-0.0501807531953013
Firmicutes	0.315738002500183
Verrucomicrobia	0.725041834988824
Cyanobacteria	0.140856724005875
Actinobacteria	0.247612235635444
Chloroflexi	-0.0450578098985771
Chlorobi	0.0851301322876433
Fusobacteria	0.553564008357509
Acidobacteria	0.0313105017839852
Unclassified	0.239292031022823
Spirochaetes	0.0317692790913435
Aquificae	0.0179070600745542
