Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinobacteria	3.01523459180479	2.80935763138263	0.00153873381007757	0.410953453058318	0.389928179882305	0.000456092989529015	0.00346215107267452	0.764091838976999	0.854575789033771	0.000586405272251591
Alphaproteobacteria	1.35427307737682	1.46691261744155	0.290391729987852	0.939854305101901	0.0803691279586088	1.63573499902194e-20	0.475186467252848	0.939854305101901	0.533711703055416	9.81440999413163e-20
Bacilli	2.98575090152755	3.63928156059125	2.64384929773196e-12	0.37039319606959	0.500922683460341	4.48848315956344e-07	1.58630957863918e-11	0.764091838976999	0.854575789033771	6.73272473934516e-07
Bacteroidia	4.73894793381805	4.71635911050915	0.383794506263782	0.374139265896856	0.0758574542576747	0.0026262187027754	0.531407777903699	0.764091838976999	0.533711703055416	0.00315146244333049
Betaproteobacteria	2.80382947351379	2.87039922329082	0.54333320383842	0.697225580726291	0.119712504901013	9.14513475052472e-34	0.651999844606104	0.784378778317077	0.533711703055416	1.64612425509445e-32
Chloroplast	0.744943824858591	0.24675705745159	2.59723168722311e-09	0.424495466098333	0.84888453331552	0.185828498321923	1.1687542592504e-08	0.764091838976999	0.910790871944822	0.185828498321923
Clostridia	4.81891645150109	4.80644824500763	0.541937618028961	0.149542848425308	0.550427680713029	0.00423976041629216	0.651999844606104	0.764091838976999	0.854575789033771	0.00476973046832868
Deinococci	0.203853588807473	1.57112899099922	1.23497888571074e-34	0.623997477009108	0.100245337576578	0.107430772240086	2.22296199427934e-33	0.784378778317077	0.533711703055416	0.113750229430679
Deltaproteobacteria	1.90499485734906	1.92670679374317	0.86163240611975	0.267885763469109	0.744967891128533	1.36191006024826e-30	0.912316665303265	0.764091838976999	0.910790871944822	1.22571905422343e-29
Epsilonproteobacteria	0.330969945322252	1.47565029095434	4.88172698253136e-20	0.93548459344158	0.454343064581841	7.84293153923227e-06	4.39355428427822e-19	0.939854305101901	0.854575789033771	1.08594436697062e-05
Erysipelotrichia	3.18065624104274	3.21358039477314	0.602751496433546	0.249639481899466	0.148253250848727	3.00913006499587e-07	0.678095433487739	0.764091838976999	0.533711703055416	4.92403101544778e-07
Flavobacteria	0.453319960138767	0.456890465824288	0.960397240466106	0.574258024071283	0.910790871944822	9.7450036505979e-09	0.960397240466106	0.784378778317077	0.910790871944822	1.94900073011958e-08
Fusobacteria	0.613040835122637	1.20580481720333	1.40606751411108e-05	0.00820718001877547	0.479498207266016	1.09738622984619e-12	4.21820254233323e-05	0.147729240337958	0.854575789033771	2.82185030531878e-12
Gammaproteobacteria	1.68056093353882	2.35287832620213	7.82962392273666e-07	0.602988811733508	0.904806222282545	7.36424949396977e-12	2.8186646121852e-06	0.784378778317077	0.910790871944822	1.6569561361432e-11
Negativicutes	3.52812596517441	3.31368620205644	0.00122789917920934	0.541420195292351	0.855528567067559	5.42712036188956e-13	0.00315745503225259	0.784378778317077	0.910790871944822	1.62813610856687e-12
Sphingobacteria	0.283643079111926	0.348594542169616	0.357540273577511	0.690591761500472	0.826990666023373	1.38446817547561e-08	0.531407777903699	0.784378778317077	0.910790871944822	2.49204271585609e-08
Synergistia	0.538479618530282	0.656323043731465	0.26358313252415	0.153009513582509	0.545502804809802	1.30415424859024e-14	0.474449638543471	0.764091838976999	0.854575789033771	4.69495529492488e-14
Verrucomicrobiae	1.54291012758233	1.19302221670679	0.0187421654218831	0.248750120782372	0.569717192689181	5.67251103092921e-15	0.0374843308437662	0.764091838976999	0.854575789033771	2.55262996391814e-14
