Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acidaminococcaceae	2.93478984114863	2.71963361255046	0.0969840265768445	5.11495016340968e-05	0.785742515962982	6.55829029217421e-39	0.17724666926113	0.00271092358660713	0.987404253013315	1.15863128495078e-37
Actinomycetaceae	1.33499482789257	1.3202882306782	0.887873441737212	0.39006191348975	0.88296688256655	0.0518459195350505	0.904947931001389	0.750220797949843	0.987404253013315	0.0639031101245972
Aerococcaceae	0.167801012977139	0.323460819124157	0.0111552232704838	0.10154928382977	0.767539222769069	0.403640510753151	0.0281536587302686	0.596408032145246	0.987404253013315	0.411402828267635
Alicyclobacillaceae	0.027017583074743	0.440890179322293	3.85626039560463e-11	0.56116368859052	0.0351095290068358	0.243898032212942	2.55477251208806e-10	0.849762157008502	0.930402518681149	0.258531914145719
Bacillaceae_1	1.85757870964308	3.32922193905222	1.96228066424025e-35	0.866246275134959	0.330640707185246	0.115035006278997	5.20004376023665e-34	0.960522176261173	0.987404253013315	0.135485674061929
Bacillales_Incertae_Sedis_XI	0.69727202967151	0.507438023104731	0.0545231196484525	0.851305709717871	0.731707824682088	0.236852270342297	0.115589013654719	0.960522176261173	0.987404253013315	0.256187149553913
Bacteroidaceae	4.55466687563193	4.50324878215004	0.177081429470397	0.916246546216229	0.451244564120929	7.75840015678949e-13	0.293291117560345	0.960522176261173	0.987404253013315	2.16418530689391e-12
Beijerinckiaceae	0.328530991720688	0.301701961826549	0.672013162885692	0.171105934890711	0.407642498474814	0.000407781959066913	0.742014534019618	0.596408032145246	0.987404253013315	0.000600345661959622
Bifidobacteriaceae	0.447844574870952	0.31401350300921	0.0595705146368359	0.205428193555729	0.847650555856163	1.42235971821879e-08	0.12143220291355	0.596408032145246	0.987404253013315	2.79203944687392e-08
Burkholderiaceae	0.422121096011048	0.49593896149351	0.371183209325335	0.721704988363546	0.482508855828902	0.000111324836609513	0.517702897216914	0.910722961506379	0.987404253013315	0.000178794434554672
Burkholderiales_incertae_sedis	0.693776576622273	0.699660182060832	0.96405056112778	0.131073450692212	0.881996075084461	3.26561899801211e-44	0.96405056112778	0.596408032145246	0.987404253013315	1.73077806894642e-42
