Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Acetanaerobacterium	1.1732098361058	1.01682319936696	0.050729945485268	0.100327695601583	0.74639173480763	0.00691772128865434	0.111424701690856	0.474627175345952	0.949135961454365	0.00826096814082023
Acetivibrio	0.514114291171176	0.308213038384449	0.0154446772038148	0.165409416237923	0.459293810864962	2.0926419347793e-19	0.0387692917565147	0.543120398874209	0.949135961454365	7.35414165651012e-19
Acidaminococcus	0.413499355560662	0.46889425583821	0.629444964512198	0.171564925523064	0.195247807788556	9.60850193594207e-35	0.774956074281241	0.543120398874209	0.889462235481201	6.95203375365221e-34
Acinetobacter	0.0661874446774745	0.977975815516974	1.59628789628889e-23	0.640972056217538	0.384452535380603	0.117294821059722	2.18159345826148e-22	0.895904124031332	0.949135961454365	0.127674893719874
Actinomyces	1.31311029653336	1.00408285927132	0.00183387409914014	0.129660257150794	0.470930739837213	0.0950433594811226	0.0057837567742112	0.527791211772251	0.949135961454365	0.105318317262866
Akkermansia	1.5471064438653	1.19953371971872	0.0203869928073202	0.226120729994933	0.542790164880254	4.20501312480695e-15	0.0482230791403921	0.551591668897696	0.949135961454365	1.01415022421815e-14
Alicyclobacillus	0.0274749010418969	0.438699175028819	3.90304398668341e-11	0.526381314357864	0.0359283964643955	0.246318553907724	2.52670742295821e-10	0.821872210669906	0.889462235481201	0.254779264156768
Alistipes	3.34831657192553	2.98830988148209	0.000136730064657391	0.185455745957047	0.640476971987855	5.55742984762348e-20	0.000509630240995728	0.543120398874209	0.949135961454365	2.01048197428732e-19
Allisonella	0.147344371136201	0.267518541467974	0.0275807185314623	0.150184491154706	0.538561450476337	0.00133348780888235	0.0628227477661086	0.527791211772251	0.949135961454365	0.00167366327033193
Allobaculum	0.516860219460474	0.661692356714773	0.144230623649278	0.0802468468620118	0.812187198567518	3.51649524722189e-15	0.268793434982745	0.420466670420874	0.979402210037301	8.65057830816586e-15
Aminiphilus	0.306672823075874	0.146068748130418	0.00662954679301473	0.292038444228897	0.235360611904235	4.45757054094468e-17	0.0194151013224003	0.623344363808501	0.899784019464909	1.37070294134049e-16
Anaerococcus	0.282787100924364	2.02312132193653	4.50296868234978e-44	0.303530337234764	0.972180558011156	0.00619060190148266	2.76932573964511e-42	0.632783584404678	0.986762647559996	0.00746513758708203
Anaerofilum	0.857180817110151	0.820728495671035	0.662784008788516	0.467949903522822	0.355501967348786	2.14569959232223e-07	0.782651464579956	0.800318199558058	0.949135961454365	3.61535684733746e-07
Anaerofustis	0.605774310003652	0.272164145645584	2.21607494626523e-06	0.774165099788808	0.535902747509466	0.000526313666199057	1.00954525329861e-05	0.933552032098268	0.949135961454365	0.000667387432396742
Anaerosphaera	0.0569147853005819	1.28109729774122	1.30555556427188e-31	0.969669027419674	0.928018390608486	0.00980295587501247	2.29404763436345e-30	0.988267439368715	0.986762647559996	0.0114834625964432
Anaerostipes	1.83033509595689	1.58602780887736	0.0137163959403973	0.367996488723538	0.133620129593721	6.39562522665209e-07	0.0358961000142312	0.707243251765549	0.889462235481201	1.04888253717094e-06
Anaerotruncus	2.41302523494634	2.27808537385918	0.15789541397487	0.0129226498265863	0.249282717141339	2.10071161446026e-15	0.281465737955202	0.144498720788192	0.899784019464909	5.38307351205441e-15
Anaerovorax	1.99687774285537	1.94921392049883	0.611970373797843	0.470040321525789	0.114130062797585	2.71332566934179e-11	0.770137107291526	0.800318199558058	0.889462235481201	5.13532520418684e-11
Anoxybacillus	1.3260905279878	2.90449292635585	1.19663614043163e-35	0.832054691850729	0.155405278917855	0.00439259269501394	3.67965613182726e-34	0.96350745947665	0.889462235481201	0.00534939506422489
Aquabacterium	0.695136752088992	0.693757877663645	0.991600373109245	0.128355844256487	0.952680980274371	9.53150623594939e-45	0.991600373109245	0.527791211772251	0.986762647559996	2.93093816755444e-43
Asaccharobacter	1.37566296167357	0.731683067609521	2.29679858081099e-09	0.190202813297399	0.668178043013248	7.6905279054229e-18	1.30608645427832e-08	0.544068512455352	0.949135961454365	2.42547418555645e-17
Atopobium	0.347694312693934	0.486786199804882	0.0841085011000148	0.228088327273514	0.0640230349526037	0.164458590570132	0.17242242725503	0.551591668897696	0.889462235481201	0.175899188175011
Bacteroides	4.55619359084274	4.50664451853578	0.178690648120055	0.940739837589608	0.522377787968837	9.77870924562108e-13	0.309562672095307	0.988267439368715	0.949135961454365	2.14782363787749e-12
Barnesiella	1.76560255614476	1.75029855664733	0.928972835960181	0.701875482738982	0.734899428308191	4.68114150161123e-47	0.960198813639515	0.90852293086516	0.949135961454365	2.8789020234909e-45
