Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinomycetales	1.52957658494707	1.75098580333543	0.03382142912096	0.287615733603167	0.990860878737849	0.00256738963106604	0.0845535728023999	0.687768848007015	0.990860878737849	0.00337814425140269
Bacillales	1.91480187279608	3.33634359813503	7.15029345607673e-34	0.788370184720784	0.308776240271788	0.137040119530944	8.93786682009591e-33	0.935528797135124	0.990860878737849	0.1427501245114
Bacteroidales	4.73931624905852	4.71648192703753	0.377336952959852	0.377598067562659	0.0742099405513541	0.00299156029956508	0.589588988999768	0.786662640755541	0.897731997315431	0.00373945037445635
Bifidobacteriales	0.448936299519967	0.312422322495631	0.0544051089194602	0.205449584037953	0.858952170465178	1.49291521829189e-08	0.113343976915542	0.687768848007015	0.990860878737849	2.66592003266409e-08
Burkholderiales	2.79744234259609	2.86504673693495	0.541675722487563	0.695974315913982	0.107727839677852	1.34817743240908e-32	0.713045169959376	0.915755678834187	0.897731997315431	3.37044358102269e-31
Campylobacterales	0.331123181623556	1.4757553277925	4.9511972621723e-20	0.935528797135124	0.454262044322581	7.80744863481708e-06	3.38624937741953e-19	0.935528797135124	0.990860878737849	1.14815421100251e-05
Caulobacterales	0.149876899015895	0.247181628467459	0.0913381142433704	0.909631008656426	0.655348048128829	4.07040411605456e-09	0.175650219698789	0.935528797135124	0.990860878737849	9.25091844557855e-09
Clostridiales	4.81845630468073	4.80597827642529	0.541914329169126	0.143675895295589	0.542996832488145	0.00387134787717689	0.713045169959376	0.687768848007015	0.990860878737849	0.00460874747282963
Coriobacteriales	2.95030528770368	2.63997935660375	1.55661605720974e-05	0.877277658420896	0.831108688589536	0.00215055240797894	5.55934306146334e-05	0.935528797135124	0.990860878737849	0.0029868783444152
Desulfovibrionales	1.90291734734604	1.92459826453052	0.861687133732201	0.266127652722198	0.743120082037924	1.26834855813358e-30	0.936616449708914	0.687768848007015	0.990860878737849	1.58543569766698e-29
Enterobacteriales	1.41655727514902	2.11822971490818	4.19423259704146e-06	0.655544553342163	0.970284732070872	3.48568663951031e-18	2.09711629852073e-05	0.915755678834187	0.990860878737849	2.17855414969394e-17
Erysipelotrichales	3.18098588844566	3.21370303386906	0.605041348975099	0.247912805763865	0.148693160522657	2.97694778377128e-07	0.756301686218874	0.687768848007015	0.929332253266604	4.96157963961881e-07
Flavobacteriales	0.453398090219524	0.456864580602432	0.961552164867752	0.573761692233905	0.911140909039506	9.90123951898983e-09	0.961552164867752	0.915755678834187	0.990860878737849	2.06275823312288e-08
Fusobacteriales	0.613178645448726	1.20588588207494	1.40933331307698e-05	0.00820464815036104	0.479403096968653	1.12168114937276e-12	5.55934306146334e-05	0.202623791207033	0.990860878737849	3.11578097047989e-12
Lactobacillales	2.86825283549517	2.87868579924743	0.911173555728666	0.292497361316075	0.965568252187865	2.48687059967272e-14	0.949139120550694	0.687768848007015	0.990860878737849	8.88168071311685e-14
Pasteurellales	0.563979605113315	0.545972040511038	0.85552222494349	0.0162099032965626	0.499551605242274	3.63868983794947e-09	0.936616449708914	0.202623791207033	0.990860878737849	9.09672459487366e-09
Pseudomonadales	0.1682516884839	1.01847040243415	5.41799900387125e-20	0.49390103433715	0.714217631324493	0.190543938155682	3.38624937741953e-19	0.915755678834187	0.990860878737849	0.190543938155682
Rhizobiales	1.16565074829807	1.12273846821316	0.678783273784245	0.772565869822222	0.242266547073351	3.65588828122286e-27	0.808075325933625	0.935528797135124	0.990860878737849	3.04657356768572e-26
Selenomonadales	3.5284555734557	3.31380903973961	0.00120993447934158	0.543994171267617	0.854309123609952	5.87416303097666e-13	0.00378104524794244	0.915755678834187	0.990860878737849	1.83567594718021e-12
Sphingobacteriales	0.283773546392788	0.348662712940121	0.358346329648977	0.692306316239809	0.826127779872332	1.30135289920853e-08	0.589588988999768	0.915755678834187	0.990860878737849	2.50260172924717e-08
Sphingomonadales	0.141227601810146	0.173151326982785	0.509304768385767	0.302618293123087	0.234400393826924	1.00406505567547e-06	0.713045169959376	0.687768848007015	0.990860878737849	1.56885164949292e-06
Synergistales	0.538907204253814	0.65649466587977	0.2648525923356	0.15232612725568	0.545210261388926	1.28809365169744e-14	0.472951057742143	0.687768848007015	0.990860878737849	5.36705688207267e-14
Thermales	0.203949987551167	1.57061044208696	1.31743114425167e-34	0.619844882439349	0.0990657818739221	0.105053684966961	3.29357786062918e-33	0.915755678834187	0.897731997315431	0.114188788007567
Verrucomicrobiales	1.54325257902168	1.19317718549138	0.0187129940584798	0.2478927745666	0.569962110404291	5.79488255267417e-15	0.0519805390513328	0.687768848007015	0.990860878737849	2.89744127633709e-14
Xanthomonadales	0.115036822359324	0.206738780631096	0.0453130215235477	0.890946097738601	0.737154141228773	0.00711772152273191	0.102984139826245	0.935528797135124	0.990860878737849	0.00808831991219535
