Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Actinobacteria	3.01386534565789	2.81013851058211	0.00169529737064989	0.412723510864194	0.385156924639779	0.000472516419907874	0.00282549561774982	0.458581678737993	0.607657114184366	0.000787527366513124
Bacteroidetes	4.73902895620074	4.71845019376606	0.428274314672949	0.390537372438656	0.0699294280997576	0.00236209706052627	0.428274314672949	0.458581678737993	0.328141059417248	0.00337442437218039
Cyanobacteria_Chloroplast	0.743818034525257	0.252105915058656	3.92201861370192e-09	0.388021805417152	0.900120635931019	0.177801456517817	1.30733953790064e-08	0.458581678737993	0.900120635931019	0.177801456517817
Deinococcus_Thermus	0.203267980792788	1.57190411984394	1.11589813397465e-34	0.627647864227836	0.100986354697233	0.107023544859928	1.11589813397465e-33	0.627647864227836	0.328141059417248	0.118915049844365
Firmicutes	4.89427304613927	4.92715864201576	0.046812134851075	0.332553345981656	0.123707608504332	7.47594585671671e-08	0.0585151685638437	0.458581678737993	0.328141059417248	1.86898646417918e-07
Fusobacteria	0.612416115820828	1.20628838341661	1.36158575556453e-05	0.00828671740545245	0.479107879394445	1.09759023810005e-12	3.40396438891133e-05	0.0828671740545245	0.607657114184366	3.65863412700017e-12
Proteobacteria	3.24422886867431	3.44894235837546	0.00089168456418004	0.277081551827444	0.534817068394907	3.15046602677837e-07	0.00178336912836008	0.458581678737993	0.607657114184366	6.30093205355673e-07
Synergistetes	0.537434698359356	0.65652844205824	0.258249506589359	0.152444842392717	0.544128696162237	1.36238186901826e-14	0.286943896210399	0.458581678737993	0.607657114184366	8.31492888673821e-14
TM7	0.881098168115645	0.30881186980436	3.61744622438323e-13	0.116739154721159	0.131256423766899	0.0370402193526477	1.80872311219161e-12	0.458581678737993	0.328141059417248	0.0463002741908097
Verrucomicrobia	1.55261960836144	1.21592466598175	0.0222230262658057	0.21909109060331	0.54689140276593	1.66298577734764e-14	0.0317471803797225	0.458581678737993	0.607657114184366	8.31492888673821e-14
