MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	49.6981563061435	2.85811596154332e-54	1
MDS2	5.08308127904861	0.000150860152461384	0.00246592222261401
MDS3	2.90662729256163	5.32478652497021e-08	0.00549049064986407
MDS4	2.10012542869523	0.0077856965270997	0.0452990912585462
MDS5	1.36605679191128	0.739373244773946	0.118757451719689
MDS6	0.996164526978557	0.999650706612861	1
MDS7	0.969265220637083	0.462216433132711	0.493507338501068
MDS8	0.914163279433793	0.999650706612861	0.00241283256958959
MDS9	0.883678283272502	0.999650706612861	0.124059712865159
MDS10	0.840268229771091	0.999650706612861	0.378514357263518
MDS11	0.804689358610211	0.999650706612861	1
MDS12	0.779927568624376	0.999650706612861	0.125347394937587
MDS13	0.721444480625172	0.999650706612861	0.664789617536043
MDS14	0.6850555372753	0.999650706612861	0.770894473329448
MDS15	0.666935655263292	0.999650706612861	0.543904089767523
MDS16	0.646416874885463	0.999650706612861	0.635093077341798
MDS17	0.620447307542142	0.196578244980227	1
MDS18	0.610683509748639	0.999650706612861	1
MDS19	0.598671984713384	0.999650706612861	0.246002561567648
MDS20	0.593336269645467	0.999650706612861	1
MDS21	0.576653204768321	0.999650706612861	1
MDS22	0.568171451603032	0.999650706612861	0.828455834429046
MDS23	0.547028085034366	0.999650706612861	1
MDS24	0.530062055418746	0.999650706612861	1
MDS25	0.524250187344606	0.999650706612861	1
MDS26	0.505559329520475	0.999650706612861	1
MDS27	0.50052258516704	0.999650706612861	0.650992953692843
MDS28	0.486467725045467	0.999650706612861	1
MDS29	0.480410771009114	0.999650706612861	1
MDS30	0.479359174530722	0.999650706612861	1
MDS31	0.468952027787361	0.999650706612861	1
MDS32	0.465720321072837	0.999650706612861	1
MDS33	0.457827793733739	0.999650706612861	1
MDS34	0.4507108311361	0.999650706612861	1
MDS35	0.448999400228917	0.999650706612861	1
MDS36	0.445582383885582	0.999650706612861	1
MDS37	0.443276414723548	0.999650706612861	1
MDS38	0.437120458619839	0.999650706612861	0.378514357263518
MDS39	0.428889306244234	0.999650706612861	1
MDS40	0.407778239560025	0.999650706612861	1
MDS41	0.388514470505657	0.999650706612861	1
MDS42	0.384081031798005	0.999650706612861	1
MDS43	0.378959986334114	0.999650706612861	0.256866562992778
MDS44	0.3643155840677	0.999650706612861	0.661716025133452
MDS45	0.359022307264025	0.999650706612861	0.250181357367054
MDS46	0.352876988155174	0.999650706612861	0.183637350955788
MDS47	0.33335179764925	0.999650706612861	0.845532543799911
MDS48	0.328019469595219	0.999650706612861	1
MDS49	0.313632036510825	0.999650706612861	0.473512633673575
MDS50	0.308428158888855	0.999650706612861	0.125347394937587
MDS51	0.303848520034993	0.999650706612861	1
MDS52	0.297013206304352	0.999650706612861	0.531969240240927
MDS53	0.289753839774375	0.999650706612861	0.00225596650099041
MDS54	0.274557061664019	0.999650706612861	0.587309158704155
MDS55	0.271883425823939	0.999650706612861	0.273964945463816
MDS56	0.268132954547563	0.999650706612861	0.547233340458835
MDS57	0.255730200214006	0.999650706612861	0.214335107192823
MDS58	0.25216545345624	0.999650706612861	0.000680303209110715
MDS59	0.247565785528659	0.999650706612861	0.115046181627643
MDS60	0.242547350913465	0.999650706612861	0.547233340458835
MDS61	0.239989884677922	0.999650706612861	0.176324977279284
MDS62	0.238006149564907	0.999650706612861	0.0948972960011832
MDS63	0.233202169366346	0.999650706612861	0.435026135000468
MDS64	0.232075261378926	0.999650706612861	0.547233340458835
MDS65	0.223258407074795	0.999650706612861	0.473512633673575
MDS66	0.222219368742523	0.999650706612861	0.195612509031987
MDS67	0.219511688299905	0.999650706612861	0.00241283256958959
MDS68	0.2176884785305	0.999650706612861	0.00246592222261401
MDS69	0.213537317785252	0.999650706612861	0.473512633673575
MDS70	0.210278193152316	0.999650706612861	0.0021054972163864
MDS71	0.208010018238579	0.999650706612861	0.00492572010145358
MDS72	0.201617175642962	0.999650706612861	0.0803211645847948
MDS73	0.200006688420186	0.999650706612861	0.031015249408209
MDS74	0.198401857139545	0.999650706612861	0.00142303993253382
MDS75	0.194657481799422	0.999650706612861	0.547233340458835
MDS76	0.194130021985435	0.999650706612861	0.0948972960011832
