MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	16.1872244443575	7.27584642632047e-29	0.534209013211111
MDS2	11.2813356374074	0.0183210135431028	3.03072446617544e-17
MDS3	6.99430111195295	0.0183210135431028	1.58932055865063e-14
MDS4	6.38333545117873	0.430719471789969	8.46290375975347e-16
MDS5	5.70484508580282	0.779460459727674	7.01935119159026e-21
MDS6	5.64199326808074	0.062298055589408	7.74362620190601e-07
MDS7	5.01379000673525	0.779460459727674	3.03072446617544e-17
MDS8	4.16093977513687	0.000885197178553936	0.00132988207351801
MDS9	3.86569362891341	0.779460459727674	4.66213543108987e-08
MDS10	3.2341476012111	0.00186187698793125	2.5572883720185e-09
MDS11	2.51417757968334	0.811330740219157	0.00301076580815648
MDS12	2.49927939609114	0.164767514096084	5.05471675921471e-05
MDS13	2.22872575304556	0.837045393638159	1.19490781678838e-06
MDS14	1.90531102214656	0.779460459727674	1.64689635107465e-05
MDS15	1.57610885883526	0.779460459727674	0.000126025794799611
