MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	17.5720828094744	1.22665053398117e-31	0.771018649617806
MDS2	9.15330385616172	5.24890482022335e-07	3.44978685134691e-09
MDS3	5.68294685706664	0.0213894098443539	1.08433855924126e-22
MDS4	5.07459180588155	0.487223139708663	2.48072727839137e-46
MDS5	4.47092777225776	0.169763892334967	6.95679526929647e-27
MDS6	3.78153051650342	0.0883543962942368	1.59579446068035e-23
MDS7	3.38931569381136	0.487223139708663	1.00246113714221e-12
MDS8	3.15275211649598	0.745703437827798	1.01582263455189e-31
MDS9	2.85834903333245	0.90983711440591	7.64578055268597e-18
MDS10	2.60143871483998	0.0834862902744039	9.7935598938073e-07
MDS11	2.53963088169335	0.745703437827798	1.20520501106146e-13
MDS12	2.27051904471187	0.0834862902744039	1.30462717863091e-14
MDS13	2.11598381114895	0.491198237400002	1.71390847809935e-09
MDS14	1.9093482363632	0.154345621404293	6.51508717017054e-05
MDS15	1.74907878483598	0.557564274991334	7.39881689781594e-16
