MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	16.54902101666	1.63036860445119e-37	0.988985524369838
MDS2	8.47801724170978	0.739141203142261	7.00253363519342e-27
MDS3	5.79711792754957	0.10076696790254	3.7414475197214e-18
MDS4	4.01694036303193	0.05569707210162	6.38988401403224e-22
MDS5	3.76767022689218	0.414632188613857	3.37719193630391e-33
MDS6	3.34746407877487	0.111981132859705	2.00501435704444e-47
MDS7	2.78661387950563	0.994144486009806	4.91501434315549e-39
MDS8	2.5954170320188	0.05569707210162	1.33540327572476e-18
MDS9	2.37221360168366	0.10076696790254	8.02106553204583e-20
MDS10	2.33540484344366	0.05569707210162	2.79374782558396e-17
MDS11	2.21101166354304	0.414632188613857	2.23578129740914e-20
MDS12	2.09638419788103	0.863419702371136	1.9043327809619e-13
MDS13	1.88650771120795	0.399185434808981	5.23785573038272e-15
MDS14	1.73559396980593	0.712626300146034	1.38156373280857e-28
MDS15	1.71407237544502	0.196633185312218	6.61872378193093e-12
