MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	19.0539065580156	2.04453039328589e-27	0.79473503077921
MDS2	8.84066423633302	0.00465797658313467	1.81724501913302e-18
MDS3	6.53144068812212	0.00465797658313467	8.75147271840333e-15
MDS4	6.0775233941425	0.244839785978398	2.44780964116218e-14
MDS5	5.06338956035664	0.13325545072771	2.80047815849673e-16
MDS6	4.53671092429331	0.514918427913131	4.28390276520565e-17
MDS7	4.30983517022348	0.895370813112193	1.65650712647075e-20
MDS8	3.95787956377859	0.00465797658313467	7.04403828898978e-08
MDS9	3.46789308153422	0.470152443249208	2.96948885257752e-10
MDS10	3.38684481920674	0.0213881338649799	1.7283381482512e-09
MDS11	2.91039178994586	0.0509725098154248	1.32307519348621e-05
MDS12	2.26605039863626	0.470152443249208	0.00567487713495627
MDS13	2.1665818718878	0.514918427913131	8.30194172581363e-09
MDS14	2.01404009557171	0.267962262682955	9.12479149184816e-05
MDS15	1.84021774940038	0.182355273986574	1.09988539824135e-05
