MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	12.9236258280224	0.310719706534064	7.01256167532806e-58
MDS2	5.59571493001983	2.95762365292453e-07	5.97610157579589e-08
MDS3	4.24948685432495	3.54217639132177e-17	4.80673028470276e-14
MDS4	3.53675957117279	8.39392493452295e-07	4.25483924469032e-09
MDS5	2.77309577755943	0.310719706534064	2.38006909694806e-55
MDS6	2.59641659261256	0.336462585555537	7.76781155569371e-50
MDS7	2.26026154178664	0.835712349808847	6.51081018109902e-42
MDS8	2.13460356978102	0.0381723463841225	5.74740948428249e-49
MDS9	2.01655084174665	0.835712349808847	5.57961725580877e-61
MDS10	1.96354086179007	0.835712349808847	1.42422383146344e-37
MDS11	1.87329443136715	0.0381723463841225	6.51081018109902e-42
MDS12	1.70626512433042	0.835712349808847	1.66936001122835e-63
MDS13	1.65542673078122	0.0381723463841225	6.07487538986581e-51
MDS14	1.62461805788625	0.835712349808847	8.95727233267987e-68
MDS15	1.58465062694168	0.835712349808847	3.58261375395973e-61
