Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Acaryochloris marina MBIC11017	PRJNA58167	8571	8383	8.3616	46.9889	2	99.67	bio58167	Acaryochloris marina	Acaryochloris	other Chroococcales	Chroococcales	other Cyanobacteria	Cyanobacteria	
Acetobacter pasteurianus IFO 3283-01	PRJNA59279	3121	3049	3.3402	53.0701	5	100.00	bio59279	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-01-42C	PRJNA158377	3050	2984	3.2480	53.1587	4	100.00	bio15837	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-03	PRJNA158373	3120	3048	3.3397	53.07	5	100.00	bio15837	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-07	PRJNA158381	3119	3047	3.3384	53.0701	5	100.00	bio15838	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-12	PRJNA158379	3118	3046	3.3370	53.0701	5	100.00	bio15837	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-22	PRJNA158383	3120	3048	3.3397	53.07	5	100.00	bio15838	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-26	PRJNA158531	3120	3048	3.3397	53.07	5	100.00	bio15853	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacter pasteurianus IFO 3283-32	PRJNA158375	3118	3046	3.3370	53.0701	5	100.00	bio15837	Acetobacter pasteurianus	Acetobacter	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acetobacterium woodii DSM 1030	PRJNA88073	3561	3473	4.0448	39.3	5	99.58	bio88073	Acetobacterium woodii	Acetobacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	
Acetohalobium arabaticum DSM 5501	PRJNA51423	2437	2282	2.4696	36.6	5	99.84	bio51423	Acetohalobium arabaticum	Acetohalobium	Halobacteroidaceae	Halanaerobiales	Clostridia	Firmicutes	
Acidaminococcus fermentans DSM 20731	PRJNA43471	2174	2026	2.3298	55.8	6	99.68	bio43471	Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	
Acidaminococcus intestini RyC-MR95	PRJNA74445	2469	2401	2.4878	50	3	99.96	bio74445	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Selenomonadales	Negativicutes	Firmicutes	
Acidimicrobium ferrooxidans DSM 10331	PRJNA59215	2089	1964	2.1582	68.3	2	100.00	bio59215	Acidimicrobium ferrooxidans	Acidimicrobium	Acidimicrobiaceae	Acidimicrobiales	Actinobacteria	Actinobacteria	
Acidiphilium cryptum JF-5	PRJNA58447	3691	3559	3.9631	67.0985	2	100.00	bio58447	Acidiphilium cryptum	Acidiphilium	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acidiphilium multivorum AIU301	PRJNA63345	4005	3948	4.2147	66.9853	2	99.93	bio63345	Acidiphilium multivorum	Acidiphilium	Acetobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	
Acidithiobacillus caldus SM-1	PRJNA70791	3240	3187	3.2376	60.938	2	100.00	bio70791	Acidithiobacillus caldus	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	
Acidithiobacillus ferrivorans SS3	PRJNA67387	3335	3093	3.2076	56.6	2	100.00	bio67387	Acidithiobacillus ferrivorans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	
Acidithiobacillus ferrooxidans ATCC 23270	PRJNA57649	3303	3147	2.9824	58.8	2	99.67	bio57649	Acidithiobacillus ferrooxidans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	
Acidithiobacillus ferrooxidans ATCC 53993	PRJNA58613	2959	2826	2.8850	58.9	2	99.67	bio58613	Acidithiobacillus ferrooxidans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Gammaproteobacteria	Proteobacteria	
Acidobacterium capsulatum ATCC 51196	PRJNA59127	3492	3377	4.1274	60.5	1	n.d.	bio59127	Acidobacterium capsulatum	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	
Acidothermus cellulolyticus 11B	PRJNA58501	2217	2157	2.4435	66.9	1	n.d.	bio58501	Acidothermus cellulolyticus	Acidothermus	Acidothermaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Acidovorax avenae subsp. avenae ATCC 19860	PRJNA42497	4851	4737	5.4822	68.8	3	99.74	bio42497	Acidovorax avenae	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Acidovorax citrulli AAC00-1	PRJNA58429	4858	4709	5.3528	68.5	3	99.78	bio58429	Acidovorax citrulli	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Acidovorax ebreus TPSY	PRJNA59233	3609	3479	3.7966	66.8	3	99.78	bio59233	Acidovorax ebreus	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
